AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g6	5.17681056855444	5.0087147805036	5.11637404092914	4.49231165648026	4.53411150860391	4.66081426652225	4.43754532438795	4.21469122671395	4.31807585180841	3.80975618690031	3.93814296289644	3.49172790477135
g7	5.64611345869826	5.54157311626111	5.45258408984039	5.77377174406629	5.69947769410452	5.54032637372497	4.52975284597063	4.61473454746633	4.7735657644184	4.73984088968939	4.71566424472929	4.66956700757279
g8	6.2824538085298	6.34106020250197	6.17133500965835	4.04086906011212	4.02652574347505	4.1023025404318	4.86023191761831	4.95455576136957	5.23108518603116	4.46776849684901	4.40882368663896	4.543462016069
g10	3.06352027230532	3.38686630422736	3.10240430750433	2.21919531478499	2.55848323835009	2.21211181713451	2.53273762949765	2.90044976057316	2.80824129729134	3.39389817711617	3.05252225691632	2.84124430132057
g11	5.39684346853144	5.45616770885323	5.40061085578472	4.60025810440562	4.71755259451415	4.88266781195656	5.27070233118345	4.893934054047	5.17890163177503	5.0095575915057	4.97589711459074	4.91425094818014
g12	-3.91862592082782	-3.91862592082782	-3.91862592082782	-3.91862592082782	-3.91862592082782	-3.91862592082782	2.19609034712928	2.13892257697693	1.82179767602087	3.55730726875872	3.24720233529337	3.24396769612729
g13	5.71457121121277	5.64508598745655	5.65192055925016	5.56980383866009	5.74596199795816	5.66306163969028	6.56041085908056	6.28352549836043	5.87217928797009	7.01739723441455	6.89637458952472	6.73805733772674
g14	3.37800457922115	3.3649803011604	3.0611499610005	2.62910162118028	2.2761195097119	2.47923327177801	2.39500611728197	2.86298689984796	2.53691427529169	3.76267722056953	3.41870813270389	3.52547799578776
g15	6.58672416845309	6.59170038685031	6.7241597798834	7.30934464578449	7.31558323116696	7.35358955188897	6.7110465790205	6.57559987544481	6.69309139923552	6.88956131257027	6.63156382608735	6.68304406511291
g16	5.22166491760894	4.89876702698403	5.00112599088941	5.06648036265049	4.94607869123463	4.67725953155017	4.05533830234653	3.98984834598947	4.14935134913713	4.73984088968939	4.05371995011503	4.34353896503188
g17	6.471143296388	6.47905117297816	6.42246806263537	6.24074247017193	6.18930505748971	6.38891039663371	5.91906268331143	5.77284773146237	5.97215403854905	6.05181342407183	5.83188619332943	5.87607389054439
g18	1.90353989270227	1.90337390520879	1.76862049262029	0.800676292885177	1.19617479635178	1.0169136869343	1.21676063969525	1.03128012452248	0.73746525143881	1.55954661553712	2.02201537216829	2.08322179549277
g21	-0.216319063450849	-1.04068304035645	-0.739915987155334	6.35430367783377	6.65612449328174	6.69882881249049	3.82188530873687	3.45620586112276	3.70876172376307	5.08038195000709	4.46732058574992	4.56525992953247
g25	-3.91862592082782	-3.91862592082782	-3.91862592082782	2.48633406100907	2.82148989198081	2.85668205266272	-3.91862592082782	-3.91862592082782	-3.91862592082782	-0.721646233744183	-3.91862592082782	-3.91862592082782
g26	-3.91862592082782	-1.85667487936387	-2.6173074761027	6.34657429808922	6.40854983556891	6.43073370648603	-3.91862592082782	-3.91862592082782	-3.91862592082782	2.37817100289498	-3.91862592082782	-3.91862592082782
