geneID	logFC	logCPM	LR	PValue	FDR
g7015	-11.3750349243985	6.17485702801481	1694.36931121387	0	0
g4873	-8.66445320835459	5.59985384177665	2061.72764125997	0	0
g12021	-6.61288714508388	7.0170139072034	1534.32371076339	0	0
g2596	-9.74380978168053	6.86949991036383	1481.30104001009	4.94065645841247e-324	1.40018204031409e-320
g7869	7.78278407007875	4.90253509621785	1474.39176291467	1.43279037293961e-322	3.24872865422912e-319
g3132	-8.5160625518506	4.03164236642342	1464.17917807289	2.3789260847256e-320	4.4949805900562e-317
g14568	9.87753668435453	5.15693473722609	1411.7373466123	5.9140672135863e-309	9.57825428577541e-306
g4268	-9.76227079302538	4.20739988870254	1357.67520834885	3.3097654807726e-297	4.69035140693987e-294
g6027	5.07111238431782	5.83487248569697	1354.87208591081	1.34566098962332e-296	1.69508429326217e-293
g3560	-13.9160142750919	7.33451125807754	1319.22158906183	7.51838107281928e-289	8.52358862225522e-286
g8546	-11.1299984098331	8.16670712915476	1304.85219013249	9.97181631414976e-286	1.02773165048651e-282
g13803	-11.4609357991141	7.20506698207649	1282.2528307653	8.12738412852316e-281	7.67834615542226e-278
g1204	-3.25966362774627	5.16140286032379	1265.7349138005	3.15923500109901e-277	2.75509593903534e-274
g14567	7.86912141553896	4.61232583343232	1244.07136101762	1.612521191351e-272	1.30579662473902e-269
g4013	-11.1421745563331	3.85791849004937	1222.77863803182	6.83760722542576e-268	5.16786354097679e-265
g14068	-6.96078974776343	6.05589221861753	1206.83061824267	1.9990273356645e-264	1.41643580652677e-261
g11946	-8.18913363771207	8.27023973021269	1198.04988129337	1.61850713453395e-262	1.07935384613008e-259
g3787	-12.5892820049033	6.0098954110424	1196.9270216221	2.83885867905212e-262	1.78800782468966e-259
g3555	-10.5494746281808	6.69729499858722	1180.21323044432	1.21771566522115e-258	7.26591710348007e-256
g2660	-9.52349963016821	6.64830381699906	1164.7995448244	2.72542975340855e-255	1.54490985571964e-252
g3558	-9.36366750123061	8.85433461085346	1162.16244555932	1.019917767067e-254	5.50609891678030e-252
g8262	-3.57189978259606	5.10406186201052	1121.64918878209	6.51026317273806e-246	3.35485698133325e-243
g4872	-11.1342466364113	7.09538003722038	1010.37085165435	1.00006471427845e-221	4.92944941990206e-219
g4464	-3.15330401325186	4.98205890602931	988.717194172848	5.09043711493943e-217	2.40459523216951e-214
g10218	-4.11699224080503	6.17660595458301	987.387661966573	9.90263869778222e-217	4.49064859667028e-214
g5318	-12.1720974236712	6.73041868037715	980.624582100576	2.92297101723461e-215	1.27452778547649e-212
g4871	-11.7205068681459	7.68101012395769	971.613377806773	2.65817284837661e-213	1.11613724377947e-210
g3994	-11.6498094369174	10.2565836325007	957.331296381328	3.38147962288759e-210	1.36913694588131e-207
g6967	10.9351699850631	6.20858372068503	922.32957800408	1.37310669393122e-202	5.36790020313731e-200
g12786	-10.1685462886034	3.59619781357174	921.53210959666	2.04672632473831e-202	7.73457878118607e-200
g8544	-12.2409080703271	7.73425418483577	918.267508186793	1.04888512232147e-201	3.83587439734146e-199
g5319	-8.53992082725582	4.68875387418595	904.893992687563	8.47088376075398e-199	3.00107528736462e-196
g3559	-9.78179134651899	3.23626790122911	894.939262022739	1.2358557520348e-196	4.24572626085409e-194
g7017	-11.5893973948394	7.21613709493623	886.039118410437	1.06359159806721e-194	3.54645233743764e-192
g12032	-6.25817837719925	6.41986195039432	883.061213255019	4.72224141701765e-194	1.52960145556369e-191
g4007	-3.92828374266824	7.52938471797111	880.461718162085	1.73484266906878e-193	5.46330870534244e-191
g393	-2.51261585924037	5.60480865082692	870.96554272261	2.01223081781044e-191	6.16558399500459e-189
g1525	2.81519670405881	4.98149916732671	868.466832644091	7.0289141245275e-191	2.09702103762548e-188
g4867	-9.57901271368858	5.58481418261082	864.584545176962	4.90780050884662e-190	1.42665985561011e-187
g288	6.34718565880424	4.99218800116867	853.005725709023	1.61479198070635e-187	4.57672417131699e-185
g4912	4.21396834534859	4.07626131087008	830.659972991649	1.16462430471826e-182	3.22032822990023e-180
g9530	4.76660667054199	5.45585123430529	808.436894148605	7.90206139559145e-178	2.13299214385286e-175
g10547	-3.83195449002002	4.84868501465058	795.029072399216	6.49881917797713e-175	1.71342123304016e-172
g14182	-10.448869386746	6.30333179400944	774.97521612267	1.4893870249792e-170	3.83754106867936e-168
g6448	10.6368403977032	5.58491114535116	773.162331512467	3.69128616718688e-170	9.29958028386613e-168
g5031	-12.4720247706164	7.27586087450758	770.970715090221	1.10584940997718e-169	2.72543799150246e-167
g10745	-2.92024210802499	4.50047587341757	769.892530321307	1.89724729589441e-169	4.57640267947978e-167
g3713	-11.4478580462935	2.56784433503632	769.117514862431	2.79662701519683e-169	6.60528343151802e-167
g7161	6.14372211951988	4.95775505696437	768.573883833981	3.67143352198252e-169	8.4944983344318e-167
g4683	-3.06988273903265	5.88708574892431	762.920244079038	6.22453659670448e-168	1.41135142793677e-165
g663	5.80637486025702	6.43147717241523	761.147394664768	1.51209909434649e-167	3.36130733972669e-165
g6240	7.88361557654263	3.83412371695628	750.989653987252	2.44464248100306e-165	5.3297907321407e-163
g14570	3.35835141438755	4.94580761867746	724.699476537834	1.27283472923262e-159	2.7226655330774e-157
g329	-3.34424137474149	6.06658255907996	719.553877758385	1.67366160500414e-158	3.51375955850592e-156
g13801	-11.0330902580532	8.07117234214357	716.542014963561	7.56125106051546e-158	1.55858005951025e-155
g11620	-11.2004017348485	8.33051637061659	710.187776875115	1.82107476391329e-156	3.68670082115803e-154
g12307	-11.7375030508916	8.57089223392454	709.904887218185	2.09818006393159e-156	4.17316971663026e-154
g5845	5.72703583532934	6.3822179517191	707.181114648951	8.20606345035309e-156	1.60400243683884e-153
g5901	4.47374370187813	4.06488110260697	701.009774042239	1.80352587908878e-154	3.46552082902194e-152
