geneID	logFC	logCPM	LR	PValue	FDR
g5901	8.70740645525424	4.06488110260697	1099.39010422988	4.48169346586311e-241	5.080895882249e-237
g5845	6.42089900917589	6.3822179517191	837.528868443938	3.73972928216368e-184	2.11986554359448e-180
g6447	4.72779561388797	8.75027961112835	784.35539768789	1.35994436241452e-172	5.13922974556448e-169
g1517	7.68640405431754	15.3044399019915	746.667548253815	2.12813268978456e-164	6.03166007602188e-161
g328	7.50182982111339	5.36133012244091	720.030383386059	1.31841584885328e-158	2.98937609568994e-155
g6025	9.03436438147561	4.31424800771729	680.435304252841	5.37355558853691e-150	1.01533332845405e-146
g3995	5.03244231783148	5.89067537156971	602.564067720937	4.63549232423329e-133	7.50751092569041e-130
g288	6.83370835240586	4.99218800116867	585.0583477444	2.97711286009066e-129	4.21894106185597e-126
g1852	9.54403667242319	5.74877256274246	562.509152692087	2.39219227067317e-124	3.01336486362464e-121
g6967	9.51821051418405	6.20858372068503	536.538151058545	1.06795975934935e-118	1.21074597917435e-115
g4754	6.93121152338185	5.65433951824437	526.745368672062	1.44216714631661e-116	1.48634990343558e-113
g663	4.38413913068866	6.43147717241523	469.547868242059	4.01935156169686e-104	3.79728238791311e-101
g10485	5.46756860654174	4.00617452849554	467.953266518554	8.93624229069397e-104	7.79309068073827e-101
g4755	5.4407544971009	4.10686007922931	446.663070663971	3.8399863643507e-99	3.10956610090313e-96
g11445	2.48385209807187	6.49939731213224	422.740477053128	6.17950358808288e-94	4.67046881187304e-91
g5440	-5.81374897972002	3.26886052560072	404.843958257034	4.85826811356179e-90	3.44238660021563e-87
g1802	7.54929599456791	3.51276027885368	379.114302005381	1.93995742521773e-84	1.29372337233491e-81
g6448	7.23848279585442	5.58491114535116	371.997363571421	6.87557884990962e-83	4.33046874563474e-80
g2135	3.24805791695349	5.35761911246306	369.280040688349	2.68504748256597e-82	1.60212543736055e-79
g4777	7.39301699806054	5.79394534790402	365.288047340274	1.98678017334186e-81	1.12620634125883e-78
g8903	-4.9783814885191	3.97201605965532	363.958212459587	3.86996891136504e-81	2.0892303594355e-78
g8826	8.52546582878183	7.98139614545705	360.357998382582	2.35304887790797e-80	1.21256886949285e-77
g86	2.16545386170352	6.38527406759434	353.452765599788	7.50345642195755e-79	3.6985515415536e-76
g5595	6.82918172901616	4.15263660342107	351.689380347669	1.81658446717979e-78	8.58109087684053e-76
g3709	7.98404217570188	5.6373841276861	351.066952070555	2.48197083240306e-78	1.12552413307814e-75
g10670	2.96153257083432	6.89120472228817	320.215157044834	1.3002756406159e-71	5.66970189910094e-69
g2925	8.31293164095579	5.71657098549618	316.725598171736	7.48424773388212e-71	3.14255246514895e-68
g2523	5.30004521090199	4.27212078422361	313.861180606553	3.14853833962148e-70	1.27482068415317e-67
g3273	7.75812115640605	7.3265858470136	313.11572101045	4.57611155439247e-70	1.78894402386715e-67
g14769	-4.65512691979769	4.05839555813353	301.327602337997	1.69251929925722e-67	6.39603043189305e-65
g7161	3.86857914203094	4.95775505696437	294.775210761161	4.53012147888128e-66	1.65670926471216e-63
g7610	-3.98224040714106	2.74008640302678	291.561113124687	2.27199300723483e-65	8.04924522594414e-63
g1810	6.99587880593974	7.57004049186721	286.829421614431	2.4401107600576e-64	8.38288960205244e-62
g2668	4.30493210776729	6.58550939509215	280.908610044453	4.75987331599421e-63	1.58713775833607e-60
g10371	8.3268163336532	7.08926667304435	265.323756975131	1.18606503393118e-59	3.84183408276507e-57
g9031	5.45408732954303	4.7650273754367	261.27667145113	9.04138211591891e-59	2.8472819180048e-56
g11354	5.19939730369994	6.25181741865123	256.256849382348	1.12319707465271e-57	3.44153655009129e-55
g8800	7.95316171270574	3.99212007105212	250.691167784672	1.83552238999668e-56	5.47613614089274e-54
g2624	7.69979188830742	7.24155381428815	247.937343142414	7.31349195678315e-56	2.12597585420642e-53
