Run,organ,mating,sex,lane,ID
SRR3113356,abdomen,mated,female,lane1,AMf1_1
SRR3113416,abdomen,mated,female,lane2,AMf1_2
SRR3113357,abdomen,mated,female,lane1,AMf2_1
SRR3113417,abdomen,mated,female,lane2,AMf2_2
SRR3113359,abdomen,mated,female,lane1,AMf3_1
SRR3113419,abdomen,mated,female,lane2,AMf3_2
SRR3113342,abdomen,mated,male,lane1,AMm1_1
SRR3113377,abdomen,mated,male,lane2,AMm1_2
SRR3113343,abdomen,mated,male,lane1,AMm2_1
SRR3113378,abdomen,mated,male,lane2,AMm2_2
SRR3113344,abdomen,mated,male,lane1,AMm3_1
SRR3113379,abdomen,mated,male,lane2,AMm3_2
SRR3113348,abdomen,virgin,female,lane1,AVf1_1
SRR3113384,abdomen,virgin,female,lane2,AVf1_2
SRR3113350,abdomen,virgin,female,lane1,AVf2_1
SRR3113385,abdomen,virgin,female,lane2,AVf2_2
SRR3113352,abdomen,virgin,female,lane1,AVf3_1
SRR3113386,abdomen,virgin,female,lane2,AVf3_2
SRR3113420,abdomen,virgin,male,lane1,AVm1_1
SRR3113365,abdomen,virgin,male,lane2,AVm1_2
SRR3113421,abdomen,virgin,male,lane1,AVm2_1
SRR3113366,abdomen,virgin,male,lane2,AVm2_2
SRR3113422,abdomen,virgin,male,lane1,AVm3_1
SRR3113367,abdomen,virgin,male,lane2,AVm3_2
SRR3113353,Head+thorax,mated,female,lane1,HtMf1_1
SRR3113387,Head+thorax,mated,female,lane2,HtMf1_2
SRR3113354,Head+thorax,mated,female,lane1,HtMf2_1
SRR3113414,Head+thorax,mated,female,lane2,HtMf2_2
SRR3113355,Head+thorax,mated,female,lane1,HtMf3_1
SRR3113415,Head+thorax,mated,female,lane2,HtMf3_2
SRR3113423,Head+thorax,mated,male,lane1,HtMm1_1
SRR3113368,Head+thorax,mated,male,lane2,HtMm1_2
SRR3113340,Head+thorax,mated,male,lane1,HtMm2_1
SRR3113369,Head+thorax,mated,male,lane2,HtMm2_2
SRR3113341,Head+thorax,mated,male,lane1,HtMm3_1
SRR3113370,Head+thorax,mated,male,lane2,HtMm3_2
SRR3113345,Head+thorax,virgin,female,lane1,HtVf1_1
SRR3113380,Head+thorax,virgin,female,lane2,HtVf1_2
SRR3113346,Head+thorax,virgin,female,lane1,HtVf2_1
SRR3113382,Head+thorax,virgin,female,lane2,HtVf2_2
SRR3113347,Head+thorax,virgin,female,lane1,HtVf3_1
SRR3113383,Head+thorax,virgin,female,lane2,HtVf3_2
SRR3113364,Head+thorax,virgin,male,lane1,HtVm1_1
SRR3113361,Head+thorax,virgin,male,lane2,HtVm1_2
SRR3113381,Head+thorax,virgin,male,lane1,HtVm2_1
SRR3113362,Head+thorax,virgin,male,lane2,HtVm2_2
SRR3113418,Head+thorax,virgin,male,lane1,HtVm3_1
SRR3113363,Head+thorax,virgin,male,lane2,HtVm3_2
