Run,sex,age,organ,replicate
SRR24182302,female,adult,head,replicate_1
SRR24182336,female,adult,head,replicate_2
SRR24182335,female,adult,head,replicate_3
SRR24182338,female,adult,abdomen,replicate_1
SRR24182337,female,adult,abdomen,replicate_2
SRR24182326,female,adult,abdomen,replicate_3
SRR24182303,female,adult,gut,replicate_3
SRR24182304,female,adult,gut,replicate_2
SRR24182305,female,adult,gut,replicate_1
SRR24182315,female,adult,antenna,replicate_1
SRR24182306,female,adult,antenna,replicate_3
SRR24182307,female,adult,antenna,replicate_2
SRR24182309,female,adult,without_head/legs,replicate_1
SRR24182331,female,adult,throax,replicate_1
SRR24182330,female,adult,throax,replicate_2
SRR24182329,female,adult,throax,replicate_3
SRR24182334,female,adult,leg,replicate_1
SRR24182333,female,adult,leg,replicate_2
SRR24182332,female,adult,leg,replicate_3
SRR24182310,male,adult,throax,replicate_3
SRR24182311,male,adult,throax,replicate_2
SRR24182312,male,adult,throax,replicate_1
SRR24182313,male,adult,leg,replicate_3
SRR24182314,male,adult,leg,replicate_2
SRR24182316,male,adult,leg,replicate_1
SRR24182317,male,adult,head,replicate_3
SRR24182318,male,adult,head,replicate_2
SRR24182319,male,adult,head,replicate_1
SRR24182320,male,adult,gut,replicate_3
SRR24182321,male,adult,gut,replicate_2
SRR24182322,male,adult,gut,replicate_1
SRR24182323,male,adult,antenna,replicate_2
SRR24182324,male,adult,antenna,replicate_1
SRR24182325,male,adult,abdomen,replicate_3
SRR24182327,male,adult,abdomen,replicate_2
SRR24182328,male,adult,abdomen,replicate_1
SRR24182308,male,adult,without_head/legs,replicate_1
