"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0071805","potassium ion transmembrane transport",32,15,4.61,"1.1e-05"
"2","GO:0001708","cell fate specification",52,18,7.49,"0.00020"
"3","GO:0010628","positive regulation of gene expression",309,67,44.49,"0.00022"
"4","GO:0046777","protein autophosphorylation",28,12,4.03,"0.00024"
"5","GO:0044703","multi-organism reproductive process",638,122,91.85,"0.00024"
"6","GO:0048731","system development",1127,232,162.26,"0.00026"
"7","GO:2000113","negative regulation of cellular macromol...",243,55,34.99,"0.00026"
"8","GO:0007417","central nervous system development",151,38,21.74,"0.00027"
"9","GO:0000122","negative regulation of transcription by ...",111,30,15.98,"0.00032"
"10","GO:0007507","heart development",64,20,9.21,"0.00042"
"11","GO:0065008","regulation of biological quality",805,146,115.9,"0.00069"
"12","GO:0048813","dendrite morphogenesis",112,29,16.12,"0.00086"
"13","GO:0042675","compound eye cone cell differentiation",13,7,1.87,"0.00097"
"14","GO:1901216","positive regulation of neuron death",7,5,1.01,"0.00100"
"15","GO:0002066","columnar/cuboidal epithelial cell develo...",195,44,28.07,"0.00116"
"16","GO:2000026","regulation of multicellular organismal d...",362,79,52.12,"0.00140"
"17","GO:0045944","positive regulation of transcription by ...",187,42,26.92,"0.00164"
"18","GO:0051674","localization of cell",210,46,30.23,"0.00173"
"19","GO:0010629","negative regulation of gene expression",352,70,50.68,"0.00207"
"20","GO:0001745","compound eye morphogenesis",189,53,27.21,"0.00210"
