"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0007479","leg disc proximal/distal pattern formati...",5,5,1.33,"0.0013"
"2","GO:0051310","metaphase plate congression",9,7,2.39,"0.0020"
"3","GO:0002009","morphogenesis of an epithelium",353,117,93.85,"0.0024"
"4","GO:0048477","oogenesis",358,118,95.18,"0.0029"
"5","GO:0044703","multi-organism reproductive process",544,171,144.64,"0.0037"
"6","GO:0007398","ectoderm development",17,10,4.52,"0.0050"
"7","GO:0040036","regulation of fibroblast growth factor r...",4,4,1.06,"0.0050"
"8","GO:0007477","notum development",4,4,1.06,"0.0050"
"9","GO:0051255","spindle midzone assembly",4,4,1.06,"0.0050"
"10","GO:0007611","learning or memory",90,35,23.93,"0.0067"
"11","GO:0007173","epidermal growth factor receptor signali...",45,20,11.96,"0.0071"
"12","GO:0046928","regulation of neurotransmitter secretion",13,8,3.46,"0.0083"
"13","GO:0042058","regulation of epidermal growth factor re...",32,15,8.51,"0.0106"
"14","GO:1901184","regulation of ERBB signaling pathway",32,15,8.51,"0.0106"
"15","GO:0030855","epithelial cell differentiation",224,75,59.56,"0.0111"
"16","GO:0016073","snRNA metabolic process",24,12,6.38,"0.0118"
"17","GO:0002064","epithelial cell development",188,64,49.98,"0.0124"
"18","GO:0009950","dorsal/ventral axis specification",42,18,11.17,"0.0159"
"19","GO:0051276","chromosome organization",317,101,84.28,"0.0168"
"20","GO:0006826","iron ion transport",7,5,1.86,"0.0169"
"21","GO:0097305","response to alcohol",76,29,20.21,"0.0171"
"22","GO:0006909","phagocytosis",25,12,6.65,"0.0173"
"23","GO:0048802","notum morphogenesis",3,3,0.8,"0.0188"
"24","GO:0035094","response to nicotine",3,3,0.8,"0.0188"
"25","GO:0046956","positive phototaxis",3,3,0.8,"0.0188"
"26","GO:0045743","positive regulation of fibroblast growth...",3,3,0.8,"0.0188"
"27","GO:0051315","attachment of mitotic spindle microtubul...",3,3,0.8,"0.0188"
"28","GO:0060297","regulation of sarcomere organization",3,3,0.8,"0.0188"
"29","GO:0050709","negative regulation of protein secretion",3,3,0.8,"0.0188"
"30","GO:0052128","positive energy taxis",3,3,0.8,"0.0188"
"31","GO:0021953","central nervous system neuron differenti...",5,4,1.33,"0.0196"
"32","GO:0021954","central nervous system neuron developmen...",5,4,1.33,"0.0196"
"33","GO:0035216","haltere disc development",5,4,1.33,"0.0196"
"34","GO:0007482","haltere development",5,4,1.33,"0.0196"
"35","GO:0009301","snRNA transcription",5,4,1.33,"0.0196"
"36","GO:0008586","imaginal disc-derived wing vein morphoge...",34,15,9.04,"0.0201"
"37","GO:0007480","imaginal disc-derived leg morphogenesis",49,20,13.03,"0.0206"
"38","GO:0007259","receptor signaling pathway via JAK-STAT",20,10,5.32,"0.0211"
"39","GO:0097696","receptor signaling pathway via STAT",20,10,5.32,"0.0211"
"40","GO:0048731","system development",959,279,254.98,"0.0239"
"41","GO:0000819","sister chromatid segregation",62,24,16.48,"0.0239"
"42","GO:0007275","multicellular organism development",1246,361,331.28,"0.0239"
"43","GO:0030707","ovarian follicle cell development",170,57,45.2,"0.0242"
"44","GO:0007143","female meiotic nuclear division",26,12,6.91,"0.0246"
"45","GO:0007552","metamorphosis",273,87,72.58,"0.0253"
"46","GO:0099643","signal release from synapse",57,26,15.15,"0.0255"
"47","GO:0007269","neurotransmitter secretion",57,26,15.15,"0.0255"
"48","GO:0048149","behavioral response to ethanol",29,13,7.71,"0.0256"
"49","GO:0007478","leg disc morphogenesis",50,20,13.29,"0.0260"
"50","GO:0048569","post-embryonic animal organ development",256,82,68.06,"0.0260"
"51","GO:0030952","establishment or maintenance of cytoskel...",32,14,8.51,"0.0263"
"52","GO:0007291","sperm individualization",35,15,9.31,"0.0267"
"53","GO:0035071","salivary gland cell autophagic cell deat...",18,9,4.79,"0.0283"
"54","GO:1904892","regulation of receptor signaling pathway...",18,9,4.79,"0.0283"
"55","GO:0046425","regulation of receptor signaling pathway...",18,9,4.79,"0.0283"
"56","GO:0009887","animal organ morphogenesis",415,127,110.34,"0.0297"
"57","GO:0048646","anatomical structure formation involved ...",275,87,73.12,"0.0304"
"58","GO:0002066","columnar/cuboidal epithelial cell develo...",169,56,44.93,"0.0319"
"59","GO:0030951","establishment or maintenance of microtub...",24,11,6.38,"0.0327"
"60","GO:0048563","post-embryonic animal organ morphogenesi...",224,72,59.56,"0.0330"
"61","GO:0007560","imaginal disc morphogenesis",224,72,59.56,"0.0330"
"62","GO:0030032","lamellipodium assembly",13,7,3.46,"0.0334"
"63","GO:0097581","lamellipodium organization",13,7,3.46,"0.0334"
"64","GO:0001708","cell fate specification",42,17,11.17,"0.0343"
"65","GO:0009791","post-embryonic development",357,110,94.92,"0.0345"
"66","GO:0048469","cell maturation",116,40,30.84,"0.0347"
"67","GO:0140029","exocytic process",33,14,8.77,"0.0348"
"68","GO:0042743","hydrogen peroxide metabolic process",8,5,2.13,"0.0352"
"69","GO:0007056","spindle assembly involved in female meio...",8,5,2.13,"0.0352"
"70","GO:0046349","amino sugar biosynthetic process",8,5,2.13,"0.0352"
"71","GO:0009994","oocyte differentiation",103,36,27.39,"0.0358"
"72","GO:0044089","positive regulation of cellular componen...",90,32,23.93,"0.0365"
"73","GO:0006325","chromatin organization",239,76,63.54,"0.0369"
"74","GO:0016331","morphogenesis of embryonic epithelium",74,27,19.67,"0.0378"
"75","GO:0007062","sister chromatid cohesion",16,8,4.25,"0.0382"
"76","GO:0071695","anatomical structure maturation",117,40,31.11,"0.0396"
"77","GO:0002065","columnar/cuboidal epithelial cell differ...",178,58,47.33,"0.0405"
"78","GO:0071805","potassium ion transmembrane transport",19,9,5.05,"0.0415"
"79","GO:0016325","oocyte microtubule cytoskeleton organiza...",19,9,5.05,"0.0415"
"80","GO:0008345","larval locomotory behavior",19,9,5.05,"0.0415"
"81","GO:0048102","autophagic cell death",19,9,5.05,"0.0415"
"82","GO:0001505","regulation of neurotransmitter levels",75,31,19.94,"0.0418"
"83","GO:0035070","salivary gland histolysis",22,10,5.85,"0.0435"
"84","GO:0006813","potassium ion transport",22,10,5.85,"0.0435"
"85","GO:0007349","cellularization",62,23,16.48,"0.0439"
"86","GO:0035081","induction of programmed cell death by ho...",11,6,2.92,"0.0454"
"87","GO:0035072","ecdysone-mediated induction of salivary ...",11,6,2.92,"0.0454"
"88","GO:0035078","induction of programmed cell death by ec...",11,6,2.92,"0.0454"
"89","GO:0012502","induction of programmed cell death",11,6,2.92,"0.0454"
"90","GO:0050805","negative regulation of synaptic transmis...",11,6,2.92,"0.0454"
"91","GO:0002118","aggressive behavior",11,6,2.92,"0.0454"
"92","GO:0042744","hydrogen peroxide catabolic process",6,4,1.6,"0.0465"
"93","GO:1903531","negative regulation of secretion by cell",6,4,1.6,"0.0465"
"94","GO:0017001","antibiotic catabolic process",6,4,1.6,"0.0465"
"95","GO:0051048","negative regulation of secretion",6,4,1.6,"0.0465"
"96","GO:0030322","stabilization of membrane potential",6,4,1.6,"0.0465"
"97","GO:0061318","renal filtration cell differentiation",6,4,1.6,"0.0465"
"98","GO:0061319","nephrocyte differentiation",6,4,1.6,"0.0465"
"99","GO:0006517","protein deglycosylation",6,4,1.6,"0.0465"
"100","GO:0050732","negative regulation of peptidyl-tyrosine...",6,4,1.6,"0.0465"
"101","GO:0016574","histone ubiquitination",6,4,1.6,"0.0465"
"102","GO:0007010","cytoskeleton organization",338,106,89.87,"0.0477"
"103","GO:0035218","leg disc development",55,24,14.62,"0.0486"
"104","GO:0048736","appendage development",197,63,52.38,"0.0487"
"105","GO:0007517","muscle organ development",50,19,13.29,"0.0503"
"106","GO:0007391","dorsal closure",66,24,17.55,"0.0503"
"107","GO:0044403","biological process involved in symbiotic...",14,7,3.72,"0.0519"
"108","GO:0007390","germ-band shortening",14,7,3.72,"0.0519"
"109","GO:0007430","terminal branching, open tracheal system",14,7,3.72,"0.0519"
"110","GO:0043903","regulation of biological process involve...",14,7,3.72,"0.0519"
"111","GO:0098781","ncRNA transcription",14,7,3.72,"0.0519"
"112","GO:0046677","response to antibiotic",44,17,11.7,"0.0534"
"113","GO:0030718","germ-line stem cell population maintenan...",44,17,11.7,"0.0534"
"114","GO:0048515","spermatid differentiation",60,22,15.95,"0.0544"
"115","GO:0045471","response to ethanol",41,16,10.9,"0.0549"
"116","GO:0009886","post-embryonic animal morphogenesis",268,83,71.25,"0.0549"
"117","GO:0016334","establishment or maintenance of polarity...",17,8,4.52,"0.0558"
"118","GO:0090307","mitotic spindle assembly",17,8,4.52,"0.0558"
"119","GO:0050708","regulation of protein secretion",17,8,4.52,"0.0558"
"120","GO:0035107","appendage morphogenesis",195,62,51.85,"0.0559"
"121","GO:0048737","imaginal disc-derived appendage developm...",195,62,51.85,"0.0559"
"122","GO:0016079","synaptic vesicle exocytosis",38,15,10.1,"0.0562"
"123","GO:0017156","calcium-ion regulated exocytosis",38,15,10.1,"0.0562"
"124","GO:0006403","RNA localization",120,40,31.91,"0.0577"
"125","GO:0009798","axis specification",120,40,31.91,"0.0577"
"126","GO:0035120","post-embryonic appendage morphogenesis",192,61,51.05,"0.0583"
"127","GO:0007310","oocyte dorsal/ventral axis specification",23,10,6.12,"0.0592"
"128","GO:0000212","meiotic spindle organization",23,10,6.12,"0.0592"
"129","GO:0007613","memory",67,24,17.81,"0.0593"
"130","GO:0006120","mitochondrial electron transport, NADH t...",26,11,6.91,"0.0595"
"131","GO:0001748","insect visual primordium development",4,3,1.06,"0.0601"
"132","GO:1902803","regulation of synaptic vesicle transport",4,3,1.06,"0.0601"
"133","GO:0002792","negative regulation of peptide secretion",4,3,1.06,"0.0601"
"134","GO:0071689","muscle thin filament assembly",4,3,1.06,"0.0601"
"135","GO:0042795","snRNA transcription by RNA polymerase II",4,3,1.06,"0.0601"
"136","GO:0006047","UDP-N-acetylglucosamine metabolic proces...",4,3,1.06,"0.0601"
"137","GO:0006048","UDP-N-acetylglucosamine biosynthetic pro...",4,3,1.06,"0.0601"
"138","GO:1900074","negative regulation of neuromuscular syn...",4,3,1.06,"0.0601"
"139","GO:0033212","iron import into cell",4,3,1.06,"0.0601"
"140","GO:0007080","mitotic metaphase plate congression",4,3,1.06,"0.0601"
"141","GO:0032837","distributive segregation",4,3,1.06,"0.0601"
"142","GO:2000300","regulation of synaptic vesicle exocytosi...",4,3,1.06,"0.0601"
"143","GO:0060049","regulation of protein glycosylation",4,3,1.06,"0.0601"
"144","GO:0035213","clypeo-labral disc development",4,3,1.06,"0.0601"
"145","GO:0045742","positive regulation of epidermal growth ...",4,3,1.06,"0.0601"
"146","GO:1990255","subsynaptic reticulum organization",4,3,1.06,"0.0601"
"147","GO:0061320","pericardial nephrocyte differentiation",4,3,1.06,"0.0601"
"148","GO:0017158","regulation of calcium ion-dependent exoc...",4,3,1.06,"0.0601"
"149","GO:1901186","positive regulation of ERBB signaling pa...",4,3,1.06,"0.0601"
"150","GO:1903305","regulation of regulated secretory pathwa...",4,3,1.06,"0.0601"
"151","GO:0048728","proboscis development",4,3,1.06,"0.0601"
"152","GO:0060573","cell fate specification involved in patt...",4,3,1.06,"0.0601"
"153","GO:0001700","embryonic development via the syncytial ...",107,36,28.45,"0.0612"
"154","GO:0048599","oocyte development",87,30,23.13,"0.0616"
"155","GO:0048707","instar larval or pupal morphogenesis",259,80,68.86,"0.0621"
"156","GO:1990709","presynaptic active zone organization",9,5,2.39,"0.0621"
"157","GO:0050730","regulation of peptidyl-tyrosine phosphor...",9,5,2.39,"0.0621"
"158","GO:0007538","primary sex determination",9,5,2.39,"0.0621"
"159","GO:0035114","imaginal disc-derived appendage morphoge...",193,61,51.31,"0.0640"
"160","GO:0002165","instar larval or pupal development",320,97,85.08,"0.0668"
"161","GO:0007292","female gamete generation",382,128,101.56,"0.0673"
"162","GO:0007219","Notch signaling pathway",91,31,24.19,"0.0675"
"163","GO:0019827","stem cell population maintenance",55,20,14.62,"0.0700"
"164","GO:0098727","maintenance of cell number",55,20,14.62,"0.0700"
"165","GO:0006338","chromatin remodeling",98,33,26.06,"0.0701"
"166","GO:0001744","insect visual primordium formation",2,2,0.53,"0.0706"
"167","GO:1901632","regulation of synaptic vesicle membrane ...",2,2,0.53,"0.0706"
"168","GO:0035079","polytene chromosome puffing",2,2,0.53,"0.0706"
"169","GO:0035027","leading edge cell fate commitment",2,2,0.53,"0.0706"
"170","GO:0035028","leading edge cell fate determination",2,2,0.53,"0.0706"
"171","GO:0035029","dorsal closure, leading edge cell fate c...",2,2,0.53,"0.0706"
"172","GO:0051589","negative regulation of neurotransmitter ...",2,2,0.53,"0.0706"
"173","GO:0046929","negative regulation of neurotransmitter ...",2,2,0.53,"0.0706"
"174","GO:0071696","ectodermal placode development",2,2,0.53,"0.0706"
"175","GO:0071697","ectodermal placode morphogenesis",2,2,0.53,"0.0706"
"176","GO:0042796","snRNA transcription by RNA polymerase II...",2,2,0.53,"0.0706"
"177","GO:0060913","cardiac cell fate determination",2,2,0.53,"0.0706"
"178","GO:0033215","reductive iron assimilation",2,2,0.53,"0.0706"
"179","GO:0031630","regulation of synaptic vesicle fusion to...",2,2,0.53,"0.0706"
"180","GO:0060039","pericardium development",2,2,0.53,"0.0706"
"181","GO:0051937","catecholamine transport",2,2,0.53,"0.0706"
"182","GO:0045117","azole transmembrane transport",2,2,0.53,"0.0706"
"183","GO:0006429","leucyl-tRNA aminoacylation",2,2,0.53,"0.0706"
"184","GO:0016340","calcium-dependent cell-matrix adhesion",2,2,0.53,"0.0706"
"185","GO:0006431","methionyl-tRNA aminoacylation",2,2,0.53,"0.0706"
"186","GO:0007393","dorsal closure, leading edge cell fate d...",2,2,0.53,"0.0706"
"187","GO:0014743","regulation of muscle hypertrophy",2,2,0.53,"0.0706"
"188","GO:0051012","microtubule sliding",2,2,0.53,"0.0706"
"189","GO:0035227","regulation of glutamate-cysteine ligase ...",2,2,0.53,"0.0706"
"190","GO:0035229","positive regulation of glutamate-cystein...",2,2,0.53,"0.0706"
"191","GO:0014896","muscle hypertrophy",2,2,0.53,"0.0706"
"192","GO:0014881","regulation of myofibril size",2,2,0.53,"0.0706"
"193","GO:0097120","receptor localization to synapse",2,2,0.53,"0.0706"
"194","GO:0045875","negative regulation of sister chromatid ...",2,2,0.53,"0.0706"
"195","GO:0015872","dopamine transport",2,2,0.53,"0.0706"
"196","GO:0051351","positive regulation of ligase activity",2,2,0.53,"0.0706"
"197","GO:0006706","steroid catabolic process",2,2,0.53,"0.0706"
"198","GO:0015844","monoamine transport",2,2,0.53,"0.0706"
"199","GO:0042066","perineurial glial growth",2,2,0.53,"0.0706"
"200","GO:0007211","octopamine or tyramine signaling pathway",2,2,0.53,"0.0706"
"201","GO:0060298","positive regulation of sarcomere organiz...",2,2,0.53,"0.0706"
"202","GO:0060788","ectodermal placode formation",2,2,0.53,"0.0706"
"203","GO:0048262","determination of dorsal/ventral asymmetr...",2,2,0.53,"0.0706"
"204","GO:0071222","cellular response to lipopolysaccharide",2,2,0.53,"0.0706"
"205","GO:0051256","mitotic spindle midzone assembly",2,2,0.53,"0.0706"
"206","GO:0051257","meiotic spindle midzone assembly",2,2,0.53,"0.0706"
"207","GO:0007510","cardioblast cell fate determination",2,2,0.53,"0.0706"
"208","GO:0072148","epithelial cell fate commitment",2,2,0.53,"0.0706"
"209","GO:0003344","pericardium morphogenesis",2,2,0.53,"0.0706"
"210","GO:0001764","neuron migration",2,2,0.53,"0.0706"
"211","GO:1902652","secondary alcohol metabolic process",12,6,3.19,"0.0709"
"212","GO:0045851","pH reduction",12,6,3.19,"0.0709"
"213","GO:0051452","intracellular pH reduction",12,6,3.19,"0.0709"
"214","GO:0008103","oocyte microtubule cytoskeleton polariza...",12,6,3.19,"0.0709"
"215","GO:0070828","heterochromatin organization",36,14,9.57,"0.0719"
"216","GO:0034472","snRNA 3'-end processing",15,7,3.99,"0.0756"
"217","GO:0110020","regulation of actomyosin structure organ...",15,7,3.99,"0.0756"
"218","GO:0061983","meiosis II cell cycle process",15,7,3.99,"0.0756"
"219","GO:0000041","transition metal ion transport",15,7,3.99,"0.0756"
"220","GO:0051098","regulation of binding",15,7,3.99,"0.0756"
"221","GO:0060537","muscle tissue development",15,7,3.99,"0.0756"
"222","GO:0030036","actin cytoskeleton organization",174,55,46.26,"0.0756"
"223","GO:0035172","hemocyte proliferation",27,11,7.18,"0.0772"
"224","GO:0045747","positive regulation of Notch signaling p...",27,11,7.18,"0.0772"
"225","GO:0098754","detoxification",27,11,7.18,"0.0772"
"226","GO:0032508","DNA duplex unwinding",18,8,4.79,"0.0778"
"227","GO:0016318","ommatidial rotation",18,8,4.79,"0.0778"
"228","GO:0051017","actin filament bundle assembly",18,8,4.79,"0.0778"
"229","GO:0032392","DNA geometric change",18,8,4.79,"0.0778"
"230","GO:0022406","membrane docking",24,10,6.38,"0.0782"
"231","GO:0140056","organelle localization by membrane tethe...",24,10,6.38,"0.0782"
"232","GO:0006726","eye pigment biosynthetic process",24,10,6.38,"0.0782"
"233","GO:0042059","negative regulation of epidermal growth ...",24,10,6.38,"0.0782"
"234","GO:1901185","negative regulation of ERBB signaling pa...",24,10,6.38,"0.0782"
"235","GO:0048278","vesicle docking",24,10,6.38,"0.0782"
"236","GO:0061572","actin filament bundle organization",21,9,5.58,"0.0785"
"237","GO:0043631","RNA polyadenylation",21,9,5.58,"0.0785"
"238","GO:0007423","sensory organ development",255,78,67.8,"0.0786"
"239","GO:0007528","neuromuscular junction development",116,38,30.84,"0.0796"
"240","GO:0044087","regulation of cellular component biogene...",199,62,52.91,"0.0799"
"241","GO:0007399","nervous system development",611,177,162.45,"0.0808"
"242","GO:0045055","regulated exocytosis",43,16,11.43,"0.0821"
"243","GO:0000070","mitotic sister chromatid segregation",56,20,14.89,"0.0827"
"244","GO:0048522","positive regulation of cellular process",721,207,191.7,"0.0834"
"245","GO:0007283","spermatogenesis",137,44,36.43,"0.0835"
"246","GO:0060562","epithelial tube morphogenesis",270,82,71.79,"0.0838"
"247","GO:0035239","tube morphogenesis",288,87,76.57,"0.0854"
"248","GO:0060341","regulation of cellular localization",103,34,27.39,"0.0854"
"249","GO:0043149","stress fiber assembly",7,4,1.86,"0.0860"
"250","GO:0043277","apoptotic cell clearance",7,4,1.86,"0.0860"
"251","GO:0000022","mitotic spindle elongation",7,4,1.86,"0.0860"
"252","GO:0046323","glucose import",7,4,1.86,"0.0860"
"253","GO:1904659","glucose transmembrane transport",7,4,1.86,"0.0860"
"254","GO:0030038","contractile actin filament bundle assemb...",7,4,1.86,"0.0860"
"255","GO:0043506","regulation of JUN kinase activity",7,4,1.86,"0.0860"
"256","GO:0007318","pole plasm protein localization",7,4,1.86,"0.0860"
"257","GO:0007135","meiosis II",7,4,1.86,"0.0860"
