"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0080090","regulation of primary metabolic process",68,16,7.1,"0.0030"
"2","GO:2000112","regulation of cellular macromolecule bio...",47,11,4.91,"0.0033"
"3","GO:0045944","positive regulation of transcription by ...",13,5,1.36,"0.0062"
"4","GO:0051172","negative regulation of nitrogen compound...",24,7,2.51,"0.0064"
"5","GO:0042391","regulation of membrane potential",5,3,0.52,"0.0089"
"6","GO:0065008","regulation of biological quality",72,15,7.52,"0.0090"
"7","GO:0048523","negative regulation of cellular process",46,10,4.81,"0.0100"
"8","GO:0031324","negative regulation of cellular metaboli...",26,7,2.72,"0.0104"
"9","GO:1903322","positive regulation of protein modificat...",2,2,0.21,"0.0106"
"10","GO:0034249","negative regulation of cellular amide me...",2,2,0.21,"0.0106"
"11","GO:0017148","negative regulation of translation",2,2,0.21,"0.0106"
"12","GO:0031327","negative regulation of cellular biosynth...",15,5,1.57,"0.0124"
"13","GO:0010558","negative regulation of macromolecule bio...",15,5,1.57,"0.0124"
"14","GO:2000113","negative regulation of cellular macromol...",15,5,1.57,"0.0124"
"15","GO:0009890","negative regulation of biosynthetic proc...",15,5,1.57,"0.0124"
"16","GO:0032535","regulation of cellular component size",10,4,1.04,"0.0130"
"17","GO:0032268","regulation of cellular protein metabolic...",27,7,2.82,"0.0130"
"18","GO:0031323","regulation of cellular metabolic process",68,16,7.1,"0.0138"
"19","GO:0010605","negative regulation of macromolecule met...",28,7,2.93,"0.0161"
"20","GO:0051246","regulation of protein metabolic process",28,7,2.93,"0.0161"
