"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0014016","neuroblast differentiation",3,3,0.39,"0.0021"
"2","GO:0007165","signal transduction",72,17,9.44,"0.0028"
"3","GO:0048863","stem cell differentiation",6,4,0.79,"0.0031"
"4","GO:0010638","positive regulation of organelle organiz...",7,4,0.92,"0.0066"
"5","GO:0019222","regulation of metabolic process",75,16,9.83,"0.0132"
"6","GO:0009891","positive regulation of biosynthetic proc...",27,8,3.54,"0.0138"
"7","GO:0031328","positive regulation of cellular biosynth...",27,8,3.54,"0.0138"
"8","GO:0043170","macromolecule metabolic process",118,22,15.47,"0.0140"
"9","GO:0008283","cell population proliferation",22,7,2.88,"0.0144"
"10","GO:0008543","fibroblast growth factor receptor signal...",2,2,0.26,"0.0168"
"11","GO:0044344","cellular response to fibroblast growth f...",2,2,0.26,"0.0168"
"12","GO:0071774","response to fibroblast growth factor",2,2,0.26,"0.0168"
"13","GO:0048864","stem cell development",2,2,0.26,"0.0168"
"14","GO:0014019","neuroblast development",2,2,0.26,"0.0168"
"15","GO:0010002","cardioblast differentiation",2,2,0.26,"0.0168"
"16","GO:0060964","regulation of miRNA-mediated gene silenc...",2,2,0.26,"0.0168"
"17","GO:0060147","regulation of post-transcriptional gene ...",2,2,0.26,"0.0168"
"18","GO:0060148","positive regulation of post-transcriptio...",2,2,0.26,"0.0168"
"19","GO:1900368","regulation of post-transcriptional gene ...",2,2,0.26,"0.0168"
"20","GO:1900370","positive regulation of post-transcriptio...",2,2,0.26,"0.0168"
