"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0019725","cellular homeostasis",5,4,1.26,"0.015"
"2","GO:0031331","positive regulation of cellular cataboli...",3,3,0.76,"0.015"
"3","GO:0006875","cellular metal ion homeostasis",3,3,0.76,"0.015"
"4","GO:0000209","protein polyubiquitination",3,3,0.76,"0.015"
"5","GO:0072503","cellular divalent inorganic cation homeo...",3,3,0.76,"0.015"
"6","GO:0097435","supramolecular fiber organization",9,5,2.27,"0.047"
"7","GO:0030003","cellular cation homeostasis",4,3,1.01,"0.050"
"8","GO:0008406","gonad development",4,3,1.01,"0.050"
"9","GO:0031056","regulation of histone modification",4,3,1.01,"0.050"
"10","GO:0006873","cellular ion homeostasis",4,3,1.01,"0.050"
"11","GO:0006816","calcium ion transport",4,3,1.01,"0.050"
"12","GO:0009896","positive regulation of catabolic process",4,3,1.01,"0.050"
"13","GO:0055065","metal ion homeostasis",4,3,1.01,"0.050"
"14","GO:0055082","cellular chemical homeostasis",4,3,1.01,"0.050"
"15","GO:0045137","development of primary sexual characteri...",4,3,1.01,"0.050"
"16","GO:0072507","divalent inorganic cation homeostasis",4,3,1.01,"0.050"
"17","GO:0070588","calcium ion transmembrane transport",4,3,1.01,"0.050"
"18","GO:0098662","inorganic cation transmembrane transport",12,6,3.03,"0.052"
"19","GO:0098655","cation transmembrane transport",12,6,3.03,"0.052"
"20","GO:0042592","homeostatic process",12,6,3.03,"0.052"
"21","GO:0043933","protein-containing complex organization",15,7,3.78,"0.053"
"22","GO:0042391","regulation of membrane potential",2,2,0.5,"0.063"
"23","GO:0035070","salivary gland histolysis",2,2,0.5,"0.063"
"24","GO:0035071","salivary gland cell autophagic cell deat...",2,2,0.5,"0.063"
"25","GO:0009267","cellular response to starvation",2,2,0.5,"0.063"
"26","GO:0031589","cell-substrate adhesion",2,2,0.5,"0.063"
"27","GO:0032368","regulation of lipid transport",2,2,0.5,"0.063"
"28","GO:0060033","anatomical structure regression",2,2,0.5,"0.063"
"29","GO:0032370","positive regulation of lipid transport",2,2,0.5,"0.063"
"30","GO:0006874","cellular calcium ion homeostasis",2,2,0.5,"0.063"
"31","GO:2000145","regulation of cell motility",2,2,0.5,"0.063"
"32","GO:0031668","cellular response to extracellular stimu...",2,2,0.5,"0.063"
"33","GO:0031669","cellular response to nutrient levels",2,2,0.5,"0.063"
"34","GO:0010508","positive regulation of autophagy",2,2,0.5,"0.063"
"35","GO:0031109","microtubule polymerization or depolymeri...",2,2,0.5,"0.063"
"36","GO:0030334","regulation of cell migration",2,2,0.5,"0.063"
"37","GO:1905954","positive regulation of lipid localizatio...",2,2,0.5,"0.063"
"38","GO:0048102","autophagic cell death",2,2,0.5,"0.063"
"39","GO:0008360","regulation of cell shape",7,4,1.77,"0.069"
"40","GO:0009792","embryo development ending in birth or eg...",7,4,1.77,"0.069"
