"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0002028","regulation of sodium ion transport",3,3,0.14,"0.00011"
"2","GO:0003007","heart morphogenesis",21,6,1.01,"0.00033"
"3","GO:0040011","locomotion",383,34,18.35,"0.00077"
"4","GO:0045475","locomotor rhythm",35,7,1.68,"0.00111"
"5","GO:0065008","regulation of biological quality",704,51,33.73,"0.00219"
"6","GO:0017121","plasma membrane phospholipid scrambling",2,2,0.1,"0.00228"
"7","GO:0043252","sodium-independent organic anion transpo...",2,2,0.1,"0.00228"
"8","GO:1990386","mitotic cleavage furrow ingression",2,2,0.1,"0.00228"
"9","GO:0007280","pole cell migration",13,4,0.62,"0.00260"
"10","GO:0051674","localization of cell",189,18,9.06,"0.00363"
"11","GO:0043297","apical junction assembly",33,6,1.58,"0.00419"
"12","GO:0002064","epithelial cell development",207,19,9.92,"0.00426"
"13","GO:0034334","adherens junction maintenance",8,3,0.38,"0.00507"
"14","GO:0007517","muscle organ development",58,8,2.78,"0.00585"
"15","GO:0048592","eye morphogenesis",183,17,8.77,"0.00601"
"16","GO:0044703","multi-organism reproductive process",585,41,28.03,"0.00611"
"17","GO:0007612","learning",47,7,2.25,"0.00640"
"18","GO:1903321","negative regulation of protein modificat...",3,2,0.14,"0.00664"
"19","GO:0043970","histone H3-K9 acetylation",3,2,0.14,"0.00664"
"20","GO:0031281","positive regulation of cyclase activity",3,2,0.14,"0.00664"
"21","GO:0097374","sensory neuron axon guidance",3,2,0.14,"0.00664"
"22","GO:0007158","neuron cell-cell adhesion",3,2,0.14,"0.00664"
"23","GO:0051349","positive regulation of lyase activity",3,2,0.14,"0.00664"
"24","GO:0007476","imaginal disc-derived wing morphogenesis",175,16,8.39,"0.00886"
"25","GO:0048477","oogenesis",387,29,18.54,"0.00898"
"26","GO:0042063","gliogenesis",50,7,2.4,"0.00900"
"27","GO:0048569","post-embryonic animal organ development",283,27,13.56,"0.00991"
"28","GO:0007167","enzyme-linked receptor protein signaling...",162,15,7.76,"0.00997"
"29","GO:0007632","visual behavior",10,3,0.48,"0.01012"
