"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0008150","biological_process",5648,1143,1901.24,"< 1e-30"
"2","GO:0009987","cellular process",5144,1051,1731.58,"6.9e-20"
"3","GO:0010628","positive regulation of gene expression",377,115,126.91,"1.0e-11"
"4","GO:0051674","localization of cell",270,89,90.89,"2.8e-11"
"5","GO:0002066","columnar/cuboidal epithelial cell develo...",247,83,83.15,"4.5e-11"
"6","GO:0044703","multi-organism reproductive process",794,208,267.28,"1.7e-10"
"7","GO:2000112","regulation of cellular macromolecule bio...",817,223,275.02,"3.5e-10"
"8","GO:0048731","system development",1399,413,470.93,"8.7e-10"
"9","GO:0045944","positive regulation of transcription by ...",223,72,75.07,"6.6e-09"
"10","GO:0007411","axon guidance",225,82,75.74,"3.0e-08"
"11","GO:0040011","locomotion",533,168,179.42,"1.2e-07"
"12","GO:2000113","negative regulation of cellular macromol...",288,83,96.95,"1.5e-07"
"13","GO:0046777","protein autophosphorylation",39,20,13.13,"7.7e-07"
"14","GO:0072499","photoreceptor cell axon guidance",28,16,9.43,"1.5e-06"
"15","GO:0001709","cell fate determination",118,41,39.72,"1.5e-06"
"16","GO:0000122","negative regulation of transcription by ...",132,44,44.43,"2.3e-06"
"17","GO:0046843","dorsal appendage formation",39,19,13.13,"3.9e-06"
"18","GO:0051128","regulation of cellular component organiz...",632,180,212.75,"4.6e-06"
"19","GO:0045214","sarcomere organization",37,20,12.46,"7.9e-06"
"20","GO:0060581","cell fate commitment involved in pattern...",23,13,7.74,"1.8e-05"
"21","GO:0030707","ovarian follicle cell development",247,83,83.15,"1.8e-05"
"22","GO:0008593","regulation of Notch signaling pathway",96,33,32.32,"2.1e-05"
"23","GO:0045475","locomotor rhythm",50,21,16.83,"2.2e-05"
"24","GO:0007298","border follicle cell migration",109,36,36.69,"2.4e-05"
"25","GO:0016319","mushroom body development",69,26,23.23,"2.5e-05"
"26","GO:0045664","regulation of neuron differentiation",136,46,45.78,"4.8e-05"
"27","GO:0010629","negative regulation of gene expression",415,107,139.7,"5.4e-05"
"28","GO:0048813","dendrite morphogenesis",124,42,41.74,"6.0e-05"
"29","GO:0051960","regulation of nervous system development",287,88,96.61,"7.2e-05"
"30","GO:0006357","regulation of transcription by RNA polym...",497,150,167.3,"7.9e-05"
"31","GO:0042051","compound eye photoreceptor development",79,33,26.59,"8.2e-05"
"32","GO:0007166","cell surface receptor signaling pathway",536,150,180.43,"8.2e-05"
"33","GO:2000026","regulation of multicellular organismal d...",444,138,149.46,"9.6e-05"
"34","GO:0035215","genital disc development",39,20,13.13,"0.00010"
"35","GO:0007417","central nervous system development",197,69,66.31,"0.00012"
"36","GO:2000027","regulation of animal organ morphogenesis",87,29,29.29,"0.00012"
"37","GO:0007616","long-term memory",63,23,21.21,"0.00013"
"38","GO:0007422","peripheral nervous system development",67,24,22.55,"0.00013"
"39","GO:0055002","striated muscle cell development",64,33,21.54,"0.00014"
"40","GO:0051241","negative regulation of multicellular org...",167,47,56.22,"0.00015"
"41","GO:0048749","compound eye development",298,98,100.31,"0.00016"
"42","GO:0090087","regulation of peptide transport",56,21,18.85,"0.00016"
"43","GO:0007519","skeletal muscle tissue development",12,8,4.04,"0.00016"
