geneID,pos_sel
g2884.t1,0
g1586.t1,0
g1560.t1,1
g7478.t1,0
g1468.t1,0
g1530.t1,0
g1725.t1,0
g2912.t1,0
g5203.t1,0
g1603.t1,0
g1525.t1,0
g1625.t1,0
g2857.t1,1
g1433.t1,0
g1627.t2,1
g1569.t1,0
g1601.t2,1
g1460.t1,0
g1435.t1,1
g1686.t1,1
g7458.t7,0
g1727.t1,0
g7271.t1,0
g1696.t1,0
g1545.t1,0
g2914.t1,0
g7426.t1,0
g1563.t1,0
g1466.t1,1
g1532.t1,0
g1707.t3,0
g1589.t1,0
g1619.t1,1
g1731.t1,1
g1594.t1,1
g1654.t1,1
g2873.t1,0
g1673.t1,0
g1566.t1,0
g1735.t1,0
g2872.t1,0
g1470.t1,0
g7456.t1,1
g1421.t3,0
g1464.t1,0
g7470.t1,0
g1492.t1,0
g1714.t1,0
g2886.t1,0
g1678.t1,0
g1558.t1,0
g7270.t1,0
g1431.t1,0
g1605.t1,0
g1684.t1,0
g1623.t2,0
g1672.t1,0
g7438.t4,0
g1452.t1,0
g1702.t1,1
g1393.t1,0
g2915.t1,0
g1438.t1,0
g1613.t1,0
g1390.t1,1
g1450.t1,0
g1611.t1,0
g2877.t1,1
g1428.t1,0
g7257.t1,1
g1736.t1,1
g1607.t1,0
g1458.t1,0
g7472.t2,0
g1621.t1,1
g1554.t1,0
g1656.t3,1
g2888.t1,0
g1473.t1,0
g1518.t1,1
g1648.t1,0
g1692.t1,1
g1546.t1,0
g2913.t1,0
g7464.t1,1
g1726.t1,0
g7272.t4,0
g1436.t1,0
g2882.t2,1
g1739.t1,0
g7459.t3,0
g1570.t1,0
g1628.t1,0
g1459.t1,1
g1602.t1,0
g1733.t1,0
g1616.t1,0
g1533.t2,0
g2874.t1,1
g1655.t1,0
g1674.t1,1
g1590.t1,0
g1681.t5,1
g1565.t1,1
g1467.t1,1
g1708.t1,1
g1531.t2,1
g1469.t1,0
g1529.t2,0
g7469.t1,0
g2885.t2,0
g1652.t1,0
g1561.t1,1
g2927.t1,0
g1434.t1,0
g2898.t1,0
g1527.t2,0
g1604.t1,0
g2860.t1,0
g1626.t1,0
g1453.t1,0
g1585.t1,0
g1568.t1,1
g1622.t1,0
g1457.t1,0
g1608.t2,0
g1429.t1,0
g2880.t1,1
g1610.t1,0
g1392.t1,0
g1449.t1,0
g1476.t1,1
g1649.t1,0
g1517.t1,0
g1555.t1,0
g1620.t1,0
g2889.t2,0
g1657.t1,0
g7473.t1,1
g2887.t1,0
g1591.t3,0
g1559.t1,0
g1677.t1,0
g7471.t1,0
g1491.t1,0
g1472.t1,0
g1493.t1,0
g1463.t1,0
g1734.t1,0
g2875.t1,1
g1437.t1,0
g1612.t1,1
g1451.t1,0
g1693.t2,0
g1394.t1,0
g2916.t1,0
g1685.t1,1
g1606.t2,0
g1404.t2,0
g1624.t1,0
g7437.t2,0
g1432.t1,0
g2876.t1,0
g2928.t1,1
g2845.t1,0
g7254.t1,1
g1514.t2,1
g1398.t1,0
g1426.t2,0
g7476.t1,0
g1441.t1,1
g1660.t1,0
g2892.t1,0
g1576.t1,0
g2920.t1,0
g1549.t1,0
g1687.t2,0
g1515.t1,0
g1397.t1,0
g2903.t1,1
g1422.t1,0
g2929.t1,0
g1690.t1,0
g7444.t3,0
g2870.t1,0
g2891.t1,0
g2911.t2,0
g1553.t1,0
g7468.t1,0
g1483.t1,0
g1511.t2,0
g1645.t1,0
g2905.t1,1
g1630.t1,1
g1580.t1,1
g1694.t2,1
g1703.t2,1
g5218.t1,0
g7474.t1,1
g1439.t1,1
g2918.t1,0
g1539.t2,0
g1658.t1,0
g7432.t1,1
g1644.t1,1
g1400.t1,0
g1662.t1,0
g2922.t1,0
g1544.t1,0
g7461.t1,0
g1737.t1,0
g2851.t1,0
g1502.t1,1
g1572.t1,0
g2894.t1,0
g1688.t1,0
g1588.t2,0
g2867.t5,1
g7439.t1,0
g1562.t1,0
g1407.t2,0
g2865.t1,0
g1582.t1,0
g1668.t1,0
g7441.t1,0
g1632.t1,0
g1499.t2,0
g1481.t1,0
g1578.t1,0
g1650.t2,0
g2901.t4,0
g1488.t1,0
g1402.t1,0
g2853.t1,0
g2863.t2,1
g1524.t1,0
g1541.t1,0
g1664.t1,0
g7262.t1,0
g1500.t1,1
g1548.t1,0
g7429.t2,0
g1695.t3,1
g7445.t1,0
g1388.t1,0
g1584.t1,0
g1629.t1,1
g1490.t1,0
g1484.t1,0
g1512.t1,1
g1489.t1,0
g1401.t1,0
g7436.t1,1
g1538.t1,0
g7261.t1,0
g1659.t1,0
g1440.t1,0
g7466.t1,0
g7258.t2,0
g1661.t2,0
g1448.t1,1
g1551.t1,0
g2919.t1,0
g1575.t2,0
g1442.t1,0
g7475.t2,0
g1399.t2,0
g1424.t1,1
g1609.t1,0
g2844.t1,0
g7253.t1,0
g7467.t1,0
g1646.t2,1
g1510.t1,1
g2890.t1,0
g2910.t1,0
g1552.t1,0
g1691.t1,0
g14355.t1,1
g2871.t1,0
g7252.t1,1
g1516.t1,0
g1477.t1,0
g1423.t1,0
g2904.t1,0
g1482.t2,0
g2926.t1,0
g1573.t1,0
