"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0002028","regulation of sodium ion transport",3,3,0.14,"9.9e-05"
"2","GO:0040011","locomotion",278,25,12.94,"0.00076"
"3","GO:0007167","enzyme-linked receptor protein signaling...",118,14,5.49,"0.00093"
"4","GO:0045475","locomotor rhythm",26,6,1.21,"0.00097"
"5","GO:0048569","post-embryonic animal organ development",193,19,8.98,"0.00121"
"6","GO:0065008","regulation of biological quality",513,38,23.88,"0.00141"
"7","GO:0008306","associative learning",30,6,1.4,"0.00214"
"8","GO:0043252","sodium-independent organic anion transpo...",2,2,0.09,"0.00215"
"9","GO:0043970","histone H3-K9 acetylation",2,2,0.09,"0.00215"
"10","GO:0007267","cell-cell signaling",196,18,9.12,"0.00358"
"11","GO:0055002","striated muscle cell development",34,6,1.58,"0.00416"
"12","GO:0002064","epithelial cell development",138,14,6.42,"0.00418"
"13","GO:0043297","apical junction assembly",24,5,1.12,"0.00421"
"14","GO:0034334","adherens junction maintenance",8,3,0.37,"0.00465"
"15","GO:0060856","establishment of blood-brain barrier",8,3,0.37,"0.00465"
"16","GO:0008360","regulation of cell shape",35,6,1.63,"0.00484"
"17","GO:0003007","heart morphogenesis",16,4,0.74,"0.00528"
"18","GO:0000904","cell morphogenesis involved in different...",221,19,10.29,"0.00578"
"19","GO:0042065","glial cell growth",3,2,0.14,"0.00626"
"20","GO:0048036","central complex development",3,2,0.14,"0.00626"
"21","GO:0007517","muscle organ development",37,6,1.72,"0.00642"
"22","GO:0051101","regulation of DNA binding",9,3,0.42,"0.00674"
"23","GO:0007280","pole cell migration",9,3,0.42,"0.00674"
"24","GO:0007613","memory",50,7,2.33,"0.00756"
"25","GO:0042078","germ-line stem cell division",18,4,0.84,"0.00825"
"26","GO:0048729","tissue morphogenesis",262,21,12.19,"0.00837"
"27","GO:0007632","visual behavior",10,3,0.47,"0.00930"
"28","GO:0045176","apical protein localization",10,3,0.47,"0.00930"
"29","GO:0007498","mesoderm development",40,6,1.86,"0.00945"
"30","GO:0007155","cell adhesion",65,8,3.03,"0.00957"
"31","GO:0009791","post-embryonic development",268,21,12.47,"0.01077"
"32","GO:0032989","cellular component morphogenesis",304,23,14.15,"0.01150"
"33","GO:0042330","taxis",155,14,7.21,"0.01160"
"34","GO:0060485","mesenchyme development",4,2,0.19,"0.01213"
"35","GO:0007519","skeletal muscle tissue development",4,2,0.19,"0.01213"
"36","GO:0007506","gonadal mesoderm development",4,2,0.19,"0.01213"
"37","GO:0014706","striated muscle tissue development",11,3,0.51,"0.01236"
"38","GO:0060537","muscle tissue development",11,3,0.51,"0.01236"
"39","GO:0034220","ion transmembrane transport",157,14,7.31,"0.01291"
"40","GO:0007178","transmembrane receptor protein serine/th...",31,5,1.44,"0.01297"
"41","GO:0002009","morphogenesis of an epithelium",256,20,11.92,"0.01321"
"42","GO:0009887","animal organ morphogenesis",314,26,14.61,"0.01338"
"43","GO:0150063","visual system development",158,14,7.35,"0.01361"
"44","GO:0001654","eye development",158,14,7.35,"0.01361"
"45","GO:0048880","sensory system development",158,14,7.35,"0.01361"
"46","GO:0007163","establishment or maintenance of cell pol...",98,10,4.56,"0.01439"
"47","GO:0006935","chemotaxis",128,12,5.96,"0.01447"
"48","GO:0008406","gonad development",21,4,0.98,"0.01449"
"49","GO:0045137","development of primary sexual characteri...",21,4,0.98,"0.01449"
"50","GO:0010557","positive regulation of macromolecule bio...",192,16,8.94,"0.01489"
"51","GO:0048592","eye morphogenesis",129,12,6,"0.01533"
"52","GO:0090596","sensory organ morphogenesis",129,12,6,"0.01533"
"53","GO:0048477","oogenesis",260,20,12.1,"0.01551"
"54","GO:0034333","adherens junction assembly",12,3,0.56,"0.01593"
"55","GO:0060538","skeletal muscle organ development",22,4,1.02,"0.01708"
"56","GO:0018108","peptidyl-tyrosine phosphorylation",22,4,1.02,"0.01708"
"57","GO:0048736","appendage development",147,13,6.84,"0.01749"
"58","GO:0048863","stem cell differentiation",34,5,1.58,"0.01900"
"59","GO:0051674","localization of cell",133,12,6.19,"0.01916"
