"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0009047","dosage compensation by hyperactivation o...",4,3,0.34,"0.0022"
"2","GO:0045793","positive regulation of cell size",8,4,0.68,"0.0026"
"3","GO:1903320","regulation of protein modification by sm...",5,3,0.42,"0.0052"
"4","GO:0051101","regulation of DNA binding",5,3,0.42,"0.0052"
"5","GO:0051339","regulation of lyase activity",2,2,0.17,"0.0071"
"6","GO:0031279","regulation of cyclase activity",2,2,0.17,"0.0071"
"7","GO:0033692","cellular polysaccharide biosynthetic pro...",2,2,0.17,"0.0071"
"8","GO:0032370","positive regulation of lipid transport",2,2,0.17,"0.0071"
"9","GO:0097374","sensory neuron axon guidance",2,2,0.17,"0.0071"
"10","GO:0002028","regulation of sodium ion transport",2,2,0.17,"0.0071"
"11","GO:0098662","inorganic cation transmembrane transport",39,8,3.31,"0.0136"
"12","GO:0098660","inorganic ion transmembrane transport",49,9,4.16,"0.0184"
"13","GO:1903322","positive regulation of protein modificat...",3,2,0.25,"0.0202"
"14","GO:0060964","regulation of miRNA-mediated gene silenc...",3,2,0.25,"0.0202"
"15","GO:0031058","positive regulation of histone modificat...",3,2,0.25,"0.0202"
"16","GO:2000637","positive regulation of miRNA-mediated ge...",3,2,0.25,"0.0202"
"17","GO:0085029","extracellular matrix assembly",3,2,0.25,"0.0202"
"18","GO:0048311","mitochondrion distribution",3,2,0.25,"0.0202"
"19","GO:1900368","regulation of post-transcriptional gene ...",3,2,0.25,"0.0202"
"20","GO:1900370","positive regulation of post-transcriptio...",3,2,0.25,"0.0202"
"21","GO:0060147","regulation of post-transcriptional gene ...",3,2,0.25,"0.0202"
"22","GO:0060148","positive regulation of post-transcriptio...",3,2,0.25,"0.0202"
"23","GO:0048863","stem cell differentiation",20,5,1.7,"0.0220"
"24","GO:0007165","signal transduction",285,33,24.19,"0.0230"
"25","GO:0031056","regulation of histone modification",8,3,0.68,"0.0242"
"26","GO:0072503","cellular divalent inorganic cation homeo...",8,3,0.68,"0.0242"
"27","GO:0021782","glial cell development",8,3,0.68,"0.0242"
"28","GO:0018205","peptidyl-lysine modification",21,5,1.78,"0.0270"
"29","GO:0050794","regulation of cellular process",585,59,49.65,"0.0297"
"30","GO:0008360","regulation of cell shape",22,5,1.87,"0.0327"
"31","GO:0034968","histone lysine methylation",9,3,0.76,"0.0341"
"32","GO:0018022","peptidyl-lysine methylation",9,3,0.76,"0.0341"
"33","GO:0072507","divalent inorganic cation homeostasis",9,3,0.76,"0.0341"
"34","GO:0018193","peptidyl-amino acid modification",55,9,4.67,"0.0370"
"35","GO:0051716","cellular response to stimulus",339,37,28.77,"0.0382"
"36","GO:0044344","cellular response to fibroblast growth f...",4,2,0.34,"0.0382"
"37","GO:0051568","histone H3-K4 methylation",4,2,0.34,"0.0382"
"38","GO:0071774","response to fibroblast growth factor",4,2,0.34,"0.0382"
"39","GO:0008543","fibroblast growth factor receptor signal...",4,2,0.34,"0.0382"
"40","GO:0098655","cation transmembrane transport",47,8,3.99,"0.0393"
"41","GO:0007166","cell surface receptor signaling pathway",150,19,12.73,"0.0396"
"42","GO:0032268","regulation of cellular protein metabolic...",92,13,7.81,"0.0401"
"43","GO:0006812","cation transport",51,10,4.33,"0.0443"
"44","GO:0008283","cell population proliferation",84,12,7.13,"0.0446"
"45","GO:0008406","gonad development",10,3,0.85,"0.0458"
"46","GO:0006875","cellular metal ion homeostasis",10,3,0.85,"0.0458"
"47","GO:0007033","vacuole organization",10,3,0.85,"0.0458"
"48","GO:0045137","development of primary sexual characteri...",10,3,0.85,"0.0458"
"49","GO:0051248","negative regulation of protein metabolic...",40,7,3.39,"0.0462"
"50","GO:0048468","cell development",330,37,28.01,"0.0465"
"51","GO:0008045","motor neuron axon guidance",17,4,1.44,"0.0491"
"52","GO:1905114","cell surface receptor signaling pathway ...",25,5,2.12,"0.0538"
"53","GO:0030003","cellular cation homeostasis",18,4,1.53,"0.0591"
"54","GO:0040012","regulation of locomotion",18,4,1.53,"0.0591"
"55","GO:0016571","histone methylation",11,3,0.93,"0.0592"
"56","GO:0003382","epithelial cell morphogenesis",11,3,0.93,"0.0592"
"57","GO:0035051","cardiocyte differentiation",11,3,0.93,"0.0592"
"58","GO:0014016","neuroblast differentiation",11,3,0.93,"0.0592"
"59","GO:0008213","protein alkylation",11,3,0.93,"0.0592"
"60","GO:0070588","calcium ion transmembrane transport",11,3,0.93,"0.0592"
"61","GO:0006479","protein methylation",11,3,0.93,"0.0592"
"62","GO:0010001","glial cell differentiation",11,3,0.93,"0.0592"
"63","GO:0044458","motile cilium assembly",5,2,0.42,"0.0602"
"64","GO:0060966","regulation of gene silencing by RNA",5,2,0.42,"0.0602"
"65","GO:0031060","regulation of histone methylation",5,2,0.42,"0.0602"
"66","GO:0080171","lytic vacuole organization",5,2,0.42,"0.0602"
"67","GO:0007040","lysosome organization",5,2,0.42,"0.0602"
"68","GO:0007288","sperm axoneme assembly",5,2,0.42,"0.0602"
"69","GO:0051646","mitochondrion localization",5,2,0.42,"0.0602"
"70","GO:0120316","sperm flagellum assembly",5,2,0.42,"0.0602"
"71","GO:0070633","transepithelial transport",5,2,0.42,"0.0602"
"72","GO:0018345","protein palmitoylation",5,2,0.42,"0.0602"
"73","GO:0006970","response to osmotic stress",5,2,0.42,"0.0602"
"74","GO:0042045","epithelial fluid transport",5,2,0.42,"0.0602"
"75","GO:0035222","wing disc pattern formation",26,5,2.21,"0.0623"
"76","GO:0035556","intracellular signal transduction",118,15,10.01,"0.0641"
