"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:1903320","regulation of protein modification by sm...",6,3,0.31,"0.0023"
"2","GO:1990386","mitotic cleavage furrow ingression",2,2,0.1,"0.0026"
"3","GO:0009047","dosage compensation by hyperactivation o...",3,2,0.16,"0.0076"
"4","GO:0007053","spindle assembly involved in male meiosi...",3,2,0.16,"0.0076"
"5","GO:0006783","heme biosynthetic process",3,2,0.16,"0.0076"
"6","GO:0007288","sperm axoneme assembly",3,2,0.16,"0.0076"
"7","GO:0001941","postsynaptic membrane organization",3,2,0.16,"0.0076"
"8","GO:0097090","presynaptic membrane organization",3,2,0.16,"0.0076"
"9","GO:0016567","protein ubiquitination",36,6,1.86,"0.0085"
"10","GO:0007009","plasma membrane organization",9,3,0.47,"0.0088"
"11","GO:0051179","localization",318,25,16.44,"0.0089"
"12","GO:0007030","Golgi organization",17,4,0.88,"0.0092"
"13","GO:0048488","synaptic vesicle endocytosis",10,3,0.52,"0.0121"
"14","GO:0140238","presynaptic endocytosis",10,3,0.52,"0.0121"
"15","GO:0006897","endocytosis",40,6,2.07,"0.0142"
"16","GO:0090150","establishment of protein localization to...",4,2,0.21,"0.0147"
"17","GO:0007488","histoblast morphogenesis",4,2,0.21,"0.0147"
"18","GO:0098657","import into cell",41,6,2.12,"0.0160"
"19","GO:0036465","synaptic vesicle recycling",11,3,0.57,"0.0161"
"20","GO:0031396","regulation of protein ubiquitination",5,2,0.26,"0.0237"
"21","GO:0006891","intra-Golgi vesicle-mediated transport",5,2,0.26,"0.0237"
"22","GO:0031058","positive regulation of histone modificat...",5,2,0.26,"0.0237"
"23","GO:0003007","heart morphogenesis",5,2,0.26,"0.0237"
"24","GO:0006099","tricarboxylic acid cycle",5,2,0.26,"0.0237"
"25","GO:0006101","citrate metabolic process",5,2,0.26,"0.0237"
"26","GO:0051641","cellular localization",191,16,9.87,"0.0258"
"27","GO:0072657","protein localization to membrane",13,3,0.67,"0.0259"
"28","GO:0008361","regulation of cell size",13,3,0.67,"0.0259"
"29","GO:0010876","lipid localization",13,3,0.67,"0.0259"
"30","GO:0008037","cell recognition",13,3,0.67,"0.0259"
"31","GO:0008038","neuron recognition",13,3,0.67,"0.0259"
"32","GO:0032268","regulation of cellular protein metabolic...",86,9,4.45,"0.0276"
"33","GO:0008104","protein localization",103,10,5.32,"0.0328"
"34","GO:0007275","multicellular organism development",388,27,20.06,"0.0334"
"35","GO:0050767","regulation of neurogenesis",36,5,1.86,"0.0339"
"36","GO:0098534","centriole assembly",6,2,0.31,"0.0344"
"37","GO:0007040","lysosome organization",6,2,0.31,"0.0344"
"38","GO:0140546","defense response to symbiont",6,2,0.31,"0.0344"
"39","GO:0051607","defense response to virus",6,2,0.31,"0.0344"
"40","GO:0072350","tricarboxylic acid metabolic process",6,2,0.31,"0.0344"
"41","GO:0035317","imaginal disc-derived wing hair organiza...",6,2,0.31,"0.0344"
"42","GO:0080171","lytic vacuole organization",6,2,0.31,"0.0344"
"43","GO:0070727","cellular macromolecule localization",120,11,6.2,"0.0370"
"44","GO:0010721","negative regulation of cell development",15,3,0.78,"0.0382"
"45","GO:0008587","imaginal disc-derived wing margin morpho...",15,3,0.78,"0.0382"
"46","GO:0033036","macromolecule localization",136,12,7.03,"0.0384"
"47","GO:0060284","regulation of cell development",50,6,2.58,"0.0393"
"48","GO:0051345","positive regulation of hydrolase activit...",26,4,1.34,"0.0409"
"49","GO:0035556","intracellular signal transduction",93,9,4.81,"0.0434"
"50","GO:0048856","anatomical structure development",434,30,22.43,"0.0443"
"51","GO:0050794","regulation of cellular process",472,31,24.4,"0.0449"
"52","GO:0007422","peripheral nervous system development",16,3,0.83,"0.0454"
"53","GO:0045930","negative regulation of mitotic cell cycl...",16,3,0.83,"0.0454"
"54","GO:0043408","regulation of MAPK cascade",16,3,0.83,"0.0454"
"55","GO:0072089","stem cell proliferation",16,3,0.83,"0.0454"
"56","GO:0099504","synaptic vesicle cycle",27,4,1.4,"0.0462"
"57","GO:0006869","lipid transport",7,2,0.36,"0.0466"
"58","GO:0008039","synaptic target recognition",7,2,0.36,"0.0466"
"59","GO:0045448","mitotic cell cycle, embryonic",7,2,0.36,"0.0466"
"60","GO:0035315","hair cell differentiation",7,2,0.36,"0.0466"
"61","GO:0035316","non-sensory hair organization",7,2,0.36,"0.0466"
"62","GO:0007476","imaginal disc-derived wing morphogenesis",53,6,2.74,"0.0503"
"63","GO:0060384","innervation",1,1,0.05,"0.0517"
"64","GO:0060385","axonogenesis involved in innervation",1,1,0.05,"0.0517"
"65","GO:0061620","glycolytic process through glucose-6-pho...",1,1,0.05,"0.0517"
"66","GO:0061621","canonical glycolysis",1,1,0.05,"0.0517"
"67","GO:0042714","dosage compensation complex assembly",1,1,0.05,"0.0517"
"68","GO:0007412","axon target recognition",1,1,0.05,"0.0517"
"69","GO:0061615","glycolytic process through fructose-6-ph...",1,1,0.05,"0.0517"
"70","GO:1905503","regulation of motile cilium assembly",1,1,0.05,"0.0517"
"71","GO:1903430","negative regulation of cell maturation",1,1,0.05,"0.0517"
"72","GO:1903524","positive regulation of blood circulation",1,1,0.05,"0.0517"
"73","GO:0009651","response to salt stress",1,1,0.05,"0.0517"
"74","GO:0033523","histone H2B ubiquitination",1,1,0.05,"0.0517"
"75","GO:0060305","regulation of cell diameter",1,1,0.05,"0.0517"
"76","GO:0071709","membrane assembly",1,1,0.05,"0.0517"
"77","GO:0044091","membrane biogenesis",1,1,0.05,"0.0517"
"78","GO:0007079","mitotic chromosome movement towards spin...",1,1,0.05,"0.0517"
"79","GO:0031887","lipid droplet transport along microtubul...",1,1,0.05,"0.0517"
"80","GO:2000305","semaphorin-plexin signaling pathway invo...",1,1,0.05,"0.0517"
"81","GO:0007158","neuron cell-cell adhesion",1,1,0.05,"0.0517"
"82","GO:0038007","netrin-activated signaling pathway",1,1,0.05,"0.0517"
"83","GO:0033182","regulation of histone ubiquitination",1,1,0.05,"0.0517"
"84","GO:0033184","positive regulation of histone ubiquitin...",1,1,0.05,"0.0517"
"85","GO:0006751","glutathione catabolic process",1,1,0.05,"0.0517"
"86","GO:0006735","NADH regeneration",1,1,0.05,"0.0517"
"87","GO:2000435","negative regulation of protein neddylati...",1,1,0.05,"0.0517"
"88","GO:0034453","microtubule anchoring",1,1,0.05,"0.0517"
"89","GO:0045992","negative regulation of embryonic develop...",1,1,0.05,"0.0517"
"90","GO:0045855","negative regulation of pole plasm oskar ...",1,1,0.05,"0.0517"
"91","GO:0061718","glucose catabolic process to pyruvate",1,1,0.05,"0.0517"
"92","GO:0051295","establishment of meiotic spindle localiz...",1,1,0.05,"0.0517"
"93","GO:1904581","negative regulation of intracellular mRN...",1,1,0.05,"0.0517"
"94","GO:0051296","establishment of meiotic spindle orienta...",1,1,0.05,"0.0517"
"95","GO:0036089","cleavage furrow formation",1,1,0.05,"0.0517"
"96","GO:0045332","phospholipid translocation",1,1,0.05,"0.0517"
"97","GO:0000001","mitochondrion inheritance",1,1,0.05,"0.0517"
"98","GO:0045823","positive regulation of heart contraction",1,1,0.05,"0.0517"
"99","GO:0006882","cellular zinc ion homeostasis",1,1,0.05,"0.0517"
"100","GO:0008065","establishment of blood-nerve barrier",1,1,0.05,"0.0517"
"101","GO:0071526","semaphorin-plexin signaling pathway",1,1,0.05,"0.0517"
"102","GO:0044273","sulfur compound catabolic process",1,1,0.05,"0.0517"
"103","GO:0017121","plasma membrane phospholipid scrambling",1,1,0.05,"0.0517"
"104","GO:0045496","male analia development",1,1,0.05,"0.0517"
"105","GO:0045497","female analia development",1,1,0.05,"0.0517"
"106","GO:1902876","negative regulation of embryonic pattern...",1,1,0.05,"0.0517"
"107","GO:0048841","regulation of axon extension involved in...",1,1,0.05,"0.0517"
"108","GO:1902841","regulation of netrin-activated signaling...",1,1,0.05,"0.0517"
"109","GO:1902843","positive regulation of netrin-activated ...",1,1,0.05,"0.0517"
"110","GO:0043984","histone H4-K16 acetylation",1,1,0.05,"0.0517"
"111","GO:0061951","establishment of protein localization to...",1,1,0.05,"0.0517"
"112","GO:0045571","negative regulation of imaginal disc gro...",1,1,0.05,"0.0517"
"113","GO:0060283","negative regulation of oocyte developmen...",1,1,0.05,"0.0517"
"114","GO:1903729","regulation of plasma membrane organizati...",1,1,0.05,"0.0517"
"115","GO:0036285","SAGA complex assembly",1,1,0.05,"0.0517"
"116","GO:0021550","medulla oblongata development",1,1,0.05,"0.0517"
"117","GO:2000289","regulation of photoreceptor cell axon gu...",1,1,0.05,"0.0517"
"118","GO:0021575","hindbrain morphogenesis",1,1,0.05,"0.0517"
"119","GO:0021579","medulla oblongata morphogenesis",1,1,0.05,"0.0517"
"120","GO:0035321","maintenance of imaginal disc-derived win...",1,1,0.05,"0.0517"
"121","GO:0048526","imaginal disc-derived wing expansion",1,1,0.05,"0.0517"
"122","GO:1905880","negative regulation of oogenesis",1,1,0.05,"0.0517"
"123","GO:0006543","glutamine catabolic process",1,1,0.05,"0.0517"
"124","GO:0031281","positive regulation of cyclase activity",1,1,0.05,"0.0517"
"125","GO:0031282","regulation of guanylate cyclase activity",1,1,0.05,"0.0517"
"126","GO:0031284","positive regulation of guanylate cyclase...",1,1,0.05,"0.0517"
"127","GO:0031279","regulation of cyclase activity",1,1,0.05,"0.0517"
"128","GO:0080182","histone H3-K4 trimethylation",1,1,0.05,"0.0517"
"129","GO:0055069","zinc ion homeostasis",1,1,0.05,"0.0517"
"130","GO:0048052","R1/R6 cell differentiation",1,1,0.05,"0.0517"
"131","GO:0030902","hindbrain development",1,1,0.05,"0.0517"
"132","GO:1903358","regulation of Golgi organization",1,1,0.05,"0.0517"
"133","GO:0018023","peptidyl-lysine trimethylation",1,1,0.05,"0.0517"
"134","GO:0042219","cellular modified amino acid catabolic p...",1,1,0.05,"0.0517"
"135","GO:0072578","neurotransmitter-gated ion channel clust...",1,1,0.05,"0.0517"
"136","GO:1903321","negative regulation of protein modificat...",1,1,0.05,"0.0517"
"137","GO:0035494","SNARE complex disassembly",1,1,0.05,"0.0517"
"138","GO:0034214","protein hexamerization",1,1,0.05,"0.0517"
"139","GO:0010265","SCF complex assembly",1,1,0.05,"0.0517"
"140","GO:1902017","regulation of cilium assembly",1,1,0.05,"0.0517"
"141","GO:0070462","plus-end specific microtubule depolymeri...",1,1,0.05,"0.0517"
"142","GO:0097035","regulation of membrane lipid distributio...",1,1,0.05,"0.0517"
"143","GO:2000766","negative regulation of cytoplasmic trans...",1,1,0.05,"0.0517"
