"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0072499","photoreceptor cell axon guidance",23,11,1.98,"8.9e-07"
"2","GO:0045664","regulation of neuron differentiation",128,28,11.03,"2.6e-06"
"3","GO:0007411","axon guidance",198,44,17.06,"6.5e-06"
"4","GO:0051674","localization of cell",222,39,19.12,"9.5e-06"
"5","GO:0045214","sarcomere organization",33,12,2.84,"9.5e-06"
"6","GO:0048731","system development",1233,180,106.21,"1.8e-05"
"7","GO:0046777","protein autophosphorylation",32,11,2.76,"4.1e-05"
"8","GO:0006357","regulation of transcription by RNA polym...",441,62,37.99,"4.4e-05"
"9","GO:0050767","regulation of neurogenesis",176,33,15.16,"5.6e-05"
"10","GO:0007476","imaginal disc-derived wing morphogenesis",206,35,17.74,"5.7e-05"
"11","GO:0002066","columnar/cuboidal epithelial cell develo...",208,35,17.92,"7.0e-05"
"12","GO:0010769","regulation of cell morphogenesis involve...",62,18,5.34,"7.2e-05"
"13","GO:0048675","axon extension",41,12,3.53,"0.00011"
"14","GO:0007480","imaginal disc-derived leg morphogenesis",64,15,5.51,"0.00026"
"15","GO:0007298","border follicle cell migration",94,19,8.1,"0.00032"
"16","GO:2000026","regulation of multicellular organismal d...",399,69,34.37,"0.00041"
"17","GO:0048814","regulation of dendrite morphogenesis",23,8,1.98,"0.00044"
"18","GO:0098609","cell-cell adhesion",67,15,5.77,"0.00044"
"19","GO:0007528","neuromuscular junction development",146,29,12.58,"0.00047"
"20","GO:2000112","regulation of cellular macromolecule bio...",729,87,62.79,"0.00055"
