g6.t1_1	g532.t1_1
g7.t1_1	g973.t1_1
g8.t1_1	g8937.t1_1
g10.t1_1	g17371.t1_1
g11.t1_1	g10708.t1_1
g12.t1_1	g10709.t1_1
g13.t1_1	g10710.t1_1
g14.t1_1	g10152.t1_1
g15.t1_1	g10153.t1_1
g17.t1_1	g4958.t1_1
g18.t1_1	g6447.t1_1
g21.t2_1	g6444.t1_1
g28.t1_1	g6438.t1_1
g29.t1_1	g6435.t1_1
g30.t1_1	g6390.t1_1
g31.t1_1	g6391.t1_1
g32.t1_1	g6392.t1_1
g35.t1_1	g6393.t1_1
g36.t1_1	g7041.t1_1
g37.t1_1	g6625.t1_1
g60.t1_1	g14193.t1_1
g62.t1_1	g14201.t1_1
g63.t1_1	g14398.t2_1
g64.t1_1	g14397.t1_1
g65.t2_1	g15499.t1_1
g66.t1_1	g14273.t1_1
g67.t1_1	g14275.t1_1
g69.t2_1	g5332.t1_1
g71.t1_1	g4706.t1_1
g72.t1_1	g16032.t1_1
g73.t1_1	g6191.t1_1
g74.t1_1	g3943.t1_1
g80.t5_1	g14460.t1_1
g81.t1_1	g15690.t1_1
g83.t1_1	g14957.t1_1
g84.t1_1	g15263.t1_1
g85.t1_1	g15269.t1_1
g90.t1_1	g15279.t1_1
g91.t1_1	g14077.t1_1
g94.t1_1	g14078.t1_1
g95.t1_1	g15628.t1_1
g96.t1_1	g15612.t1_1
g99.t1_1	g15241.t1_1
g108.t1_1	g13697.t1_1
g111.t1_1	g14097.t1_1
g112.t1_1	g14098.t1_1
g115.t1_1	g13050.t1_1
g117.t1_1	g299.t1_1
g119.t1_1	g15548.t1_1
g120.t1_1	g15681.t1_1
g121.t1_1	g15682.t1_1
g122.t1_1	g13825.t1_1
g124.t1_1	g15549.t1_1
g125.t1_1	g15550.t1_1
g126.t1_1	g4077.t1_1
g132.t1_1	g2718.t1_1
g133.t1_1	g14211.t1_1
g134.t1_1	g14207.t1_1
g135.t1_1	g14208.t1_1
g136.t2_1	g14209.t1_1
g137.t1_1	g15114.t1_1
g138.t1_1	g2204.t1_1
g139.t1_1	g13870.t1_1
g141.t1_1	g2203.t1_1
g142.t1_1	g2202.t1_1
g143.t1_1	g2201.t1_1
g145.t2_1	g10150.t1_1
g146.t1_1	g10149.t1_1
g148.t1_1	g8114.t1_1
g149.t2_1	g5107.t2_1
g150.t1_1	g5109.t2_1
g151.t1_1	g5110.t1_1
g152.t1_1	g5113.t1_1
g153.t1_1	g5114.t1_1
g154.t1_1	g5115.t1_1
g155.t1_1	g5116.t1_1
g157.t2_1	g5119.t1_1
g164.t1_1	g5125.t1_1
g165.t1_1	g2091.t1_1
g166.t1_1	g5127.t1_1
g169.t1_1	g7469.t2_1
g170.t1_1	g7467.t1_1
g171.t1_1	g7466.t1_1
g172.t1_1	g7464.t1_1
g173.t1_1	g7611.t2_1
g174.t1_1	g5639.t1_1
g176.t1_1	g5620.t1_1
g177.t1_1	g5621.t1_1
g181.t1_1	g6405.t1_1
g182.t2_1	g6404.t1_1
g183.t1_1	g6407.t1_1
g184.t1_1	g6759.t1_1
g185.t1_1	g6599.t1_1
g186.t1_1	g6758.t1_1
g187.t1_1	g6755.t1_1
g191.t1_1	g9192.t1_1
g193.t1_1	g13525.t1_1
g197.t1_1	g13529.t2_1
g199.t1_1	g13524.t1_1
g200.t1_1	g13176.t1_1
g201.t1_1	g13175.t1_1
g203.t1_1	g13177.t1_1
g204.t1_1	g13253.t1_1
g205.t1_1	g13295.t1_1
g207.t1_1	g17729.t1_1
g208.t1_1	g13232.t1_1
g210.t2_1	g8495.t1_1
g211.t2_1	g13231.t1_1
g212.t3_1	g13521.t1_1
g213.t1_1	g12496.t1_1
g214.t1_1	g13530.t1_1
g215.t2_1	g13531.t1_1
g216.t1_1	g13254.t1_1
g218.t1_1	g12632.t1_1
g221.t1_1	g6311.t1_1
g224.t1_1	g6370.t1_1
g225.t1_1	g6371.t1_1
g226.t1_1	g4482.t1_1
g227.t1_1	g6474.t1_1
g228.t1_1	g7504.t1_1
g229.t1_1	g6473.t1_1
