g6.t1_1	rna-XM_008203325.3_1
g7.t1_1	rna-XM_966292.4_1
g8.t1_1	rna-XM_015981048.2_1
g10.t1_1	rna-XM_965611.4_1
g11.t1_1	rna-XM_008198170.3_1
g12.t1_1	rna-XM_001814446.4_1
g13.t1_1	rna-XM_969453.4_1
g14.t1_1	rna-XM_008197198.3_1
g15.t1_1	rna-XM_015981341.2_1
g17.t1_1	rna-XM_967574.4_1
g18.t1_1	rna-XM_015980457.2_1
g21.t2_1	rna-XM_970194.4_1
g28.t1_1	rna-XM_008196213.3_1
g29.t1_1	rna-XM_970227.4_1
g30.t1_1	rna-XM_008195849.3_1
g31.t1_1	rna-XM_008195847.3_1
g32.t1_1	rna-XM_008195846.3_1
g35.t1_1	rna-XM_064356728.1_1
g36.t1_1	rna-XM_008195656.3_1
g37.t1_1	rna-XM_008195979.3_1
g41.t1_1	rna-XM_015983858.2_1
g60.t1_1	rna-NM_001114321.1_1
g62.t1_1	rna-XM_008200082.3_1
g63.t1_1	rna-XM_015983717.2_1
g64.t1_1	rna-XM_008199967.3_1
g65.t2_1	rna-XM_015984713.2_1
g66.t1_1	rna-XM_968353.5_1
g67.t1_1	rna-XM_968288.4_1
g69.t2_1	rna-XM_008193949.3_1
g71.t1_1	rna-XM_064359175.1_1
g72.t1_1	rna-NM_001166026.1_1
g73.t1_1	rna-XM_963265.5_1
g74.t1_1	rna-XM_962993.4_1
g80.t5_1	rna-XM_008199870.3_1
g81.t1_1	rna-XM_064355108.1_1
g83.t1_1	rna-XM_008202189.3_1
g84.t1_1	rna-XM_015983452.2_1
g90.t1_1	rna-XM_008200257.3_1
g91.t1_1	rna-XM_963462.4_1
g94.t1_1	rna-XM_963379.4_1
g95.t1_1	rna-XM_008201061.3_1
g96.t1_1	rna-XM_963979.5_1
g99.t1_1	rna-NM_001114293.1_1
g111.t1_1	rna-XM_064355247.1_1
g112.t1_1	rna-XM_008200151.3_1
g115.t1_1	rna-XM_008192945.3_1
g117.t1_1	rna-XM_008202904.3_1
g119.t1_1	rna-XM_008201047.3_1
g120.t1_1	rna-XM_962601.4_1
g121.t1_1	rna-XM_008202682.3_1
g122.t1_1	rna-XM_008201476.3_1
g125.t1_1	rna-NM_001039398.2_1
g126.t1_1	rna-XM_008201995.3_1
g132.t1_1	rna-XM_964716.4_1
g133.t1_1	rna-XM_969459.4_1
g134.t1_1	rna-XM_008200078.3_1
g135.t1_1	rna-XM_969491.4_1
g136.t2_1	rna-XM_969474.5_1
g138.t1_1	rna-XM_961892.4_1
g139.t1_1	rna-XM_965449.4_1
g141.t1_1	rna-XM_008198643.3_1
g142.t1_1	rna-XM_008198665.3_1
g143.t1_1	rna-XM_064357201.1_1
g145.t2_1	rna-XM_966776.4_1
g146.t1_1	rna-XM_966721.5_1
g148.t1_1	rna-XM_008194703.3_1
g149.t2_1	rna-XM_064359157.1_1
g150.t1_1	rna-XM_015979525.2_1
g151.t1_1	rna-XM_008194108.3_1
g152.t1_1	rna-XM_008194104.3_1
g154.t1_1	rna-XM_064358614.1_1
g155.t1_1	rna-XM_008194101.3_1
g157.t2_1	rna-XM_001816384.4_1
g166.t1_1	rna-XM_008194089.3_1
g169.t1_1	rna-XM_008202264.3_1
g170.t1_1	rna-XM_064356894.1_1
g171.t1_1	rna-XM_968040.5_1
g172.t1_1	rna-XM_968080.5_1
g173.t1_1	rna-XM_001811987.4_1
g174.t1_1	rna-XM_001807077.3_1
g176.t1_1	rna-XM_962801.5_1
g177.t1_1	rna-XM_962725.5_1
g182.t2_1	rna-XM_962575.4_1
g183.t1_1	rna-XM_008195834.3_1
g184.t1_1	rna-NM_001313877.1_1
g186.t1_1	rna-XM_015980173.2_1
g187.t1_1	rna-XM_008196010.3_1
g193.t1_1	rna-XM_015982437.2_1
g197.t1_1	rna-XM_064357525.1_1
g199.t1_1	rna-XM_001812413.4_1
g200.t1_1	rna-XM_008198571.3_1
g201.t1_1	rna-XM_064357603.1_1
g204.t1_1	rna-XM_966554.4_1
g205.t1_1	rna-XM_964474.4_1
g207.t1_1	rna-XM_064359191.1_1
g208.t1_1	rna-XM_008198536.3_1
g211.t2_1	rna-XM_967193.5_1
g212.t3_1	rna-XM_966664.5_1
g213.t1_1	rna-XM_964630.4_1
g214.t1_1	rna-XM_966263.4_1
g215.t2_1	rna-XM_966201.4_1
g216.t1_1	rna-XM_966499.4_1
g218.t1_1	rna-XM_969297.4_1
g221.t1_1	rna-XM_008195935.3_1
g222.t1_1	rna-XM_008195870.3_1
g224.t1_1	rna-XM_964617.5_1
g225.t1_1	rna-XM_964538.5_1
g226.t1_1	rna-XM_965083.4_1
g227.t1_1	rna-XM_970056.5_1
g228.t1_1	rna-XM_064356546.1_1
g229.t1_1	rna-XM_970067.4_1
g230.t1_1	rna-XM_962465.5_1
g231.t1_1	rna-XM_970076.4_1
g232.t1_1	rna-XM_970086.4_1
g233.t1_1	rna-XM_970094.3_1
g236.t1_1	rna-XM_001809187.4_1
g237.t1_1	rna-XM_008200972.3_1
g240.t1_1	rna-XM_064357194.1_1
g241.t1_1	rna-XM_015982278.2_1
g243.t1_1	rna-XM_968483.4_1
g244.t1_1	rna-XM_008198565.3_1
g245.t1_1	rna-XM_008198564.3_1
g248.t3_1	rna-XM_008194828.3_1
g249.t1_1	rna-XM_968216.4_1
g250.t1_1	rna-XM_961247.4_1
g252.t1_1	rna-XM_008199024.3_1
g255.t1_1	rna-XM_967401.3_1
g257.t1_1	rna-XM_967094.3_1
g258.t1_1	rna-XM_968350.5_1
g259.t1_1	rna-XM_968318.4_1
g260.t1_1	rna-XM_008199206.3_1
g261.t1_1	rna-XM_008199202.3_1
g263.t1_1	rna-XM_008200886.3_1
g264.t1_1	rna-XM_064357826.1_1
g265.t1_1	rna-XM_964172.3_1
g268.t1_1	rna-XM_008195210.3_1
g269.t1_1	rna-XM_969523.5_1
g270.t1_1	rna-XM_970172.5_1
g273.t1_1	rna-XM_008203046.3_1
g275.t1_1	rna-XM_968247.5_1
g276.t1_1	rna-XM_966821.4_1
g277.t1_1	rna-NM_001170844.1_1
g278.t2_1	rna-XM_008196836.3_1
g279.t1_1	rna-XM_967339.5_1
g280.t1_1	rna-XM_967288.4_1
g281.t1_1	rna-XM_967187.4_1
g282.t1_1	rna-XM_968173.5_1
g283.t2_1	rna-XM_964542.4_1
g285.t2_1	rna-XM_001813649.4_1
g286.t1_1	rna-XM_064358234.1_1
g287.t1_1	rna-XM_968125.4_1
g288.t1_1	rna-XM_064357938.1_1
g289.t1_1	rna-XM_964666.5_1
g291.t2_1	rna-NM_001170843.1_1
g298.t1_1	rna-XM_015979363.2_1
g299.t1_1	rna-XM_008193369.3_1
g300.t1_1	rna-XM_008196303.3_1
g301.t1_1	rna-XM_968171.4_1
g302.t1_1	rna-XM_969187.4_1
g303.t1_1	rna-XM_008196624.2_1
g304.t1_1	rna-XM_008193772.3_1
g309.t1_1	rna-XM_961731.4_1
g310.t3_1	rna-XM_008197852.3_1
g311.t1_1	rna-XM_008197874.3_1
g312.t1_1	rna-XM_008196595.3_1
g313.t1_1	rna-XM_964315.4_1
g314.t1_1	rna-XM_008196253.3_1
g315.t1_1	rna-XM_966205.5_1
g316.t1_1	rna-XM_008199170.3_1
g317.t3_1	rna-XM_008199200.2_1
g318.t1_1	rna-XM_001811845.4_1
g319.t2_1	rna-XM_968185.5_1
g320.t1_1	rna-XM_968076.4_1
g321.t1_1	rna-XM_008199301.3_1
g323.t1_1	rna-XM_015982765.2_1
g324.t1_1	rna-XM_967030.5_1
g325.t1_1	rna-NM_001042570.1_1
g328.t1_1	rna-XM_015979964.2_1
g329.t1_1	rna-XM_964756.4_1
g330.t1_1	rna-XM_015982714.2_1
g332.t1_1	rna-XM_015982711.2_1
g335.t1_1	rna-XM_968991.5_1
g336.t1_1	rna-XM_015982498.2_1
g337.t2_1	rna-XM_008198988.3_1
g339.t1_1	rna-XM_008198987.3_1
