"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0051674","localization of cell",225,23,9.86,"0.00011"
"2","GO:0019730","antimicrobial humoral response",59,10,2.59,"0.00020"
"3","GO:0040011","locomotion",450,45,19.72,"0.00026"
"4","GO:0016203","muscle attachment",31,7,1.36,"0.00030"
"5","GO:0045214","sarcomere organization",31,7,1.36,"0.00030"
"6","GO:1902903","regulation of supramolecular fiber organ...",74,11,3.24,"0.00032"
"7","GO:0007411","axon guidance",194,22,8.5,"0.00044"
"8","GO:0046580","negative regulation of Ras protein signa...",16,5,0.7,"0.00045"
"9","GO:0048749","compound eye development",251,23,11,"0.00054"
"10","GO:0003002","regionalization",336,28,14.72,"0.00063"
"11","GO:0001736","establishment of planar polarity",80,11,3.51,"0.00064"
"12","GO:0044087","regulation of cellular component biogene...",241,22,10.56,"0.00075"
"13","GO:0043508","negative regulation of JUN kinase activi...",5,3,0.22,"0.00078"
"14","GO:0007280","pole cell migration",11,4,0.48,"0.00093"
"15","GO:0010623","programmed cell death involved in cell d...",84,11,3.68,"0.00098"
"16","GO:0010468","regulation of gene expression",888,57,38.91,"0.00113"
"17","GO:0050804","modulation of chemical synaptic transmis...",74,10,3.24,"0.00130"
"18","GO:0090087","regulation of peptide transport",50,8,2.19,"0.00130"
"19","GO:0007472","wing disc morphogenesis",205,20,8.98,"0.00133"
"20","GO:0008589","regulation of smoothened signaling pathw...",29,6,1.27,"0.00134"
