ortholog_number	focal_transcript	LFC_abdomen	FDR_pval_abdomen	LFC_head+thorax	FDR_pval_head+thorax	level_most_dist_ortholog	chromosome	C_chinensis_dNdS	C_chinensis_dS	C_chinensis_dN	C_chinensis_positive_selection	B_siliquastri_dNdS	B_siliquastri_dS	B_siliquastri_dN	B_siliquastri_positive_selection	A_obtectus_dNdS	A_obtectus_dS	A_obtectus_dN	A_obtectus_positive_selection
4209	g11816.t1	0.759361502108302	9.56715276944366e-10	0.0518868410042446	0.764082506299208	2	0	0.7140974967061924	0.6072	0.4336	True	0.4981700753498386	1.3935	0.6942	False				
3719	g4954.t3	-0.149831444539548	0.44732890851441	-0.208977965595633	0.369312435232625	5	0	0.0626356589147286	0.3225	0.0202	True	0.1557271557271557	0.4662	0.0726	True	0.0962221095334685	0.7888	0.0759	False
6979	g4606.t1	1.0695539335695	6.55660174333068e-17	0.0034585716789841	0.987801088439379	5	0	0.1596614127262113	0.3426	0.0547	False	0.0953338119167264	0.6965	0.0664	False	0.0739584454731402	0.9289	0.0687	False
5209	g6457.t1	-2.23156213545996	8.45027248171677e-05	-1.83678754859886	1.9373542779762e-09	5	0	0.0829643439757632	0.4291	0.0356	False	0.0427664550618108	1.1972	0.0512	False	0.0629430352720129	1.1709	0.0737	False
8396	g2461.t1	-9.33437706430364	4.13626854717309e-06	-7.15174102195301	0.001332102374151	2	0	0.1765629087104368	0.3823	0.0675	False	0.0878136200716845	1.116	0.098	False				
2719	g8134.t1	-12.6246412454718	3.55309904812078e-12	-6.95099350661466	0.0001577328360488	3	0	0.1150288008378425	0.5729	0.0659	False	0.1594987788042901	0.9417	0.1502	False	0.062834546945074	2.0737	0.1303	False
8747	g3338.t1	-1.83589254708058	1.18892477669474e-16	-0.963756159003873	9.28847118761368e-08	5	0	0.020827134781315	0.3361	0.007	False	0.0356863358898106	0.6389	0.0228	False	0.0455327804725395	0.6391	0.0291	False
310	g1376.t1	-13.4837000760331	2.93851638513025e-11	-5.45770350221191	0.0008357918967027	3	0					0.2149770759042282	0.7852	0.1688	False	0.2753830439223698	0.979	0.2696	False
784	g992.t2	-1.97759194586162	1.42453718622386e-21	-1.05505737373524	6.32916419924818e-11	5	0	0.1378889566809029	0.1639	0.0226	False	0.1400078988941548	0.5064	0.0709	False	0.1196034537895747	0.6254	0.0748	False
7979	g14168.t2	-0.547828773114697	4.6482639062998e-06	-0.397691926409269	0.0049899311166048	5	0	0.1703550023052097	0.4338	0.0739	False	0.1394199785177228	0.931	0.1298	False	0.1305326981377219	1.1545	0.1507	False
355	g1326.t1	-2.4191728763862	3.58003396016758e-05	-0.998136339905651	0.125108347395818	4	0	0.1543090996629754	0.4154	0.0641	False	0.2184146111843344	0.5311	0.116	False	0.1493552644938572	0.9849	0.1471	False
8702	g14776.t1	2.81556812311627	6.51397656879369e-34	1.19040344594459	5.61597377025495e-06	5	0	0.4091926774660872	0.7593	0.3107	False	0.3796249366447035	0.9865	0.3745	False	0.4165215227668574	1.2057	0.5022	False
478	g595.t1	0.9738905111376	3.64565520415312e-09	0.15503299160764	0.500086265204547	5	0	0.4354231974921629	0.319	0.1389	False	0.3442910622367805	0.8548	0.2943	True	0.2369022295753565	1.2693	0.3007	False
5561	g6303.t1	-0.104793665836238	0.349636064979529	-0.176037925429781	0.1620988132095	4	0	0.0177852348993288	0.298	0.0053	False	0.0307090170103868	0.6643	0.0204	False	0.0274317064807406	0.8749	0.024	False
2832	g8862.t1	-0.289919141801836	0.0169252857201101	-0.0335832713770716	0.837647452962075	5	0	0.0227178851714167	0.2421	0.0055	False	0.0127207138788684	0.5267	0.0067	False	0.0096181046676096	0.707	0.0068	False
2071	g11214.t1	1.78042577975974	4.3976452353876e-11	-0.453445926737166	0.184523146057345	5	0	0.23240589198036	0.4277	0.0994	True	0.0523230250622893	0.6823	0.0357	False	0.0795367971964041	0.6563	0.0522	False
7617	g3536.t1	-0.0865173357495118	0.530708605800249	0.186642097239179	0.253342713424786	5	0					0.0843298786429267	1.1289	0.0952	False				
7283	g4628.t1	1.64527008249032	6.10890487727823e-17	0.0645902714121954	0.818735196698996	4	0	0.0801832760595647	0.2619	0.021	True	0.0581267217630854	0.363	0.0211	False	0.038365058285377	0.6777	0.026	False
8829	g9353.t1	-2.80936226007784	8.97790912970026e-11	-0.339722499673626	0.293724239015896	5	0	0.0394404507480085	0.5147	0.0203	False	0.0329967988180251	0.8122	0.0268	False	0.0320448990676201	1.1047	0.0354	False
2877	g8802.t1	0.565121127757878	2.70303066215884e-07	0.0605157971243255	0.687299040485211	5	0	0.0354850887127217	0.2649	0.0094	False	0.0467213114754098	0.61	0.0285	False	0.0436686847868092	0.7763	0.0339	False
5524	g6346.t1	0.943237069307303	4.08095271330188e-05	0.147960520598697	0.616031281325683	5	0	0.0563697857948139	0.4435	0.025	False	0.0285374554102259	1.682	0.048	False	0.0208803922648889	1.8151	0.0379	False
7652	g7529.t1		1.0		1.0	5	0	0.1032412965186074	0.5831	0.0602	False	0.0766045548654244	1.0143	0.0777	False	0.0505456289722988	1.6678	0.0843	False
2034	g12095.t1	-0.177718740428131	0.161343672129771	0.0624907630719929	0.695619841719042	5	0	0.0046210720887245	0.3246	0.0015	False	0.025939797475378	0.7209	0.0187	False	0.0105403306335293	0.9013	0.0095	False
3832	g12623.t1	-0.141139601045733	0.326307077313358	0.540968737196887	0.0002839180533593	5	0	0.0330019880715705	0.2515	0.0083	False	0.0267494115129467	0.4673	0.0125	False	0.0451306413301662	0.5473	0.0247	False
1307	g11991.t1	1.99800500367815	3.23324607901416e-26	0.369035420155265	0.0874931326266545	5	0	0.0439042089985486	0.2756	0.0121	False	0.0896998635743519	0.5864	0.0526	False	0.0394793552279975	1.1601	0.0458	False
4561	g1750.t1	-0.0077619895324701	0.961885638844452	-0.381358246743082	0.0243157066429282	4	0					0.1350041539739684	0.7222	0.0975	False	0.1151201130475741	1.0615	0.1222	False
6617	g10343.t1	1.29755735489872	0.146644946996103	-0.45623202046937	0.342379309310066	4	0	0.0290836653386454	0.251	0.0073	False	0.2342944699818916	0.7179	0.1682	True				
3071	g8189.t3	0.186977784894707	0.123802612629655	-0.146387166538482	0.343256038342225	5	0					0.0388525780682643	0.8262	0.0321	False	0.0379464285714285	1.0752	0.0408	False
4524	g13604.t1	0.400447405088815	0.0158583483838242	-0.109679685378704	0.615818367643626	5	0	0.0582893347412882	0.4735	0.0276	False	0.0709006296194908	0.7306	0.0518	False				
1342	g11913.t1		1.0		1.0	2	0					0.3821846230405573	0.4019	0.1536	True				
3877	g12985.t1	0.350114838400484	0.0253934385275249	0.216595200431242	0.30419528876327	5	0	0.1066044508255563	0.2786	0.0297	False	0.0854494902687673	0.5395	0.0461	False	0.0989471165350562	0.8358	0.0827	False
3034	g8359.t1	-0.722903202038723	1.17210635471305e-07	-0.113622495610035	0.503055150326256	3	0	0.2366778684589534	0.6249	0.1479	True	0.1624982337148509	0.7077	0.115	False	0.0573961735884274	1.7144	0.0984	False
6652	g4022.t2	-0.34649781862194	0.0072366492703946	-0.0347856164901702	0.847374414427557	4	0	0.0966076696165191	0.2712	0.0262	False	0.091170136396267	0.5572	0.0508	False	0.0630387371481981	0.9629	0.0607	False
6283	g10312.t1	0.451332669111753	6.94181566384816e-06	-0.179311548526936	0.130543017884891	5	0	0.0674991562605467	0.2963	0.02	False	0.0446456447080861	0.6406	0.0286	False	0.0149736379613356	1.4225	0.0213	False
1793	g11528.t1	0.257477949654631	0.132288602004813	0.115612315215377	0.59210093113947	4	0					0.1429635145197319	0.6715	0.096	True				
3418	g12886.t1	-0.207100870461737	0.148874202908877	-0.763180398955589	1.64100704060362e-07	5	0	0.2003052270125906	0.2621	0.0525	False	0.1011262880421759	0.4173	0.0422	False	0.1599999999999999	0.8525	0.1364	False
4108	g13272.t1	0.148068706912148	0.14944207783191	-0.371746688610763	0.0002830174933664	5	0	0.0229653505237711	0.2482	0.0057	False	0.026739801165581	0.5834	0.0156	False	0.0429755926661216	0.8563	0.0368	False
8446	g3301.t1	-1.19263639778331	6.84266098694329e-06	-0.0341178661070267	0.928159652809989	2	0	0.2134322726701043	0.7951	0.1697	False	0.2055804158989208	1.1397	0.2343	False				
852	g339.t1	-0.368635359404554	0.236313808662301	-0.266336480109317	0.499109008918694	4	0	0.0713870029097963	0.5155	0.0368	False	0.240552995391705	0.651	0.1566	False	0.0732616611756546	1.1534	0.0845	False
2418	g7165.t1	-1.14891329624965	0.0524006966911142	-0.674098571442197	0.321548217671188	4	0					0.0238256167624197	1.1836	0.0282	False				
8097	g9542.t1	-0.116357136582188	0.435534108928544	0.170493552420824	0.332954664717865	5	0	0.198414867450123	0.3659	0.0726	False	0.149417852522639	0.6184	0.0924	False	0.17684808095767	0.8103	0.1433	False
5108	g6216.t1	-11.0864563117887	4.04717947856306e-10	-6.45196859410309	0.0005381197977568	4	0	0.0517135234968192	0.4873	0.0252	False	0.0405422526289116	0.7893	0.032	False	0.0484910485933503	0.9775	0.0474	False
8403	g2471.t1	-0.0602186421461649	0.899153920293396	0.706632892347763	0.164841156188542	3	0	0.0608279357927344	0.3551	0.0216	False	0.1139226991244928	0.9366	0.1067	False	0.0868787650602409	1.0624	0.0923	False
