g8.t1_1	CALCHIM00000023384_1
g10.t1_1	CALCHIM00000023386_1
g11.t1_1	CALCHIM00000023389_1
g12.t1_1	CALCHIM00000023392_1
g13.t1_1	CALCHIM00000023393_1
g14.t1_1	CALCHIM00000038989_1
g15.t1_1	CALCHIM00000038988_1
g16.t1_1	CALCHIM00000047979_1
g17.t1_1	CALCHIM00000047978_1
g18.t1_1	CALCHIM00000047977_1
g21.t2_1	CALCHIM00000047967_1
g25.t2_1	CALCHIM00000047951_1
g26.t1_1	CALCHIM00000047950_1
g27.t1_1	CALCHIM00000047936_1
g28.t1_1	CALCHIM00000047929_1
g29.t1_1	CALCHIM00000047925_1
g30.t1_1	CALCHIM00000047918_1
g31.t1_1	CALCHIM00000047916_1
g32.t1_1	CALCHIM00000047913_1
g35.t1_1	CALCHIM00000047910_1
g36.t1_1	CALCHIM00000047906_1
g38.t1_1	CALCHIM00000055473_1
g41.t1_1	CALCHIM00000055463_1
g43.t1_1	CALCHIM00000012801_1
g44.t1_1	CALCHIM00000052183_1
g47.t1_1	CALCHIM00000047982_1
g52.t1_1	CALCHIM00000047988_1
g56.t1_1	CALCHIM00000009710_1
g59.t1_1	CALCHIM00000009704_1
g61.t1_1	CALCHIM00000050781_1
g62.t1_1	CALCHIM00000050778_1
g63.t1_1	CALCHIM00000050776_1
g64.t1_1	CALCHIM00000050770_1
g65.t2_1	CALCHIM00000050757_1
g66.t1_1	CALCHIM00000050756_1
g67.t1_1	CALCHIM00000050754_1
g69.t2_1	CALCHIM00000050751_1
g71.t1_1	CALCHIM00000050748_1
g72.t1_1	CALCHIM00000050743_1
g73.t1_1	CALCHIM00000050742_1
g74.t1_1	CALCHIM00000050740_1
g75.t1_1	CALCHIM00000050739_1
g80.t5_1	CALCHIM00000050735_1
g81.t1_1	CALCHIM00000050695_1
g82.t1_1	CALCHIM00000044895_1
g83.t1_1	CALCHIM00000050682_1
g84.t1_1	CALCHIM00000001455_1
g85.t1_1	CALCHIM00000001444_1
g86.t1_1	CALCHIM00000001442_1
g89.t1_1	CALCHIM00000001418_1
g90.t1_1	CALCHIM00000001413_1
g91.t1_1	CALCHIM00000001410_1
g94.t1_1	CALCHIM00000001401_1
g95.t1_1	CALCHIM00000001396_1
g96.t1_1	CALCHIM00000001390_1
g97.t1_1	CALCHIM00000001382_1
g98.t1_1	CALCHIM00000001381_1
g99.t1_1	CALCHIM00000001379_1
g101.t1_1	CALCHIM00000001378_1
g102.t1_1	CALCHIM00000031857_1
g103.t2_1	CALCHIM00000001376_1
g104.t1_1	CALCHIM00000001370_1
g106.t1_1	CALCHIM00000050982_1
g107.t1_1	CALCHIM00000003920_1
g110.t1_1	CALCHIM00000043902_1
g111.t1_1	CALCHIM00000024794_1
g112.t1_1	CALCHIM00000024796_1
g114.t1_1	CALCHIM00000024798_1
g115.t1_1	CALCHIM00000048107_1
g117.t1_1	CALCHIM00000048110_1
g118.t1_1	CALCHIM00000011579_1
g119.t1_1	CALCHIM00000010277_1
g120.t1_1	CALCHIM00000010267_1
g121.t1_1	CALCHIM00000010266_1
g122.t1_1	CALCHIM00000010265_1
g124.t1_1	CALCHIM00000010264_1
g125.t1_1	CALCHIM00000010263_1
g126.t1_1	CALCHIM00000010254_1
g127.t1_1	CALCHIM00000010249_1
g128.t1_1	CALCHIM00000010248_1
g132.t1_1	CALCHIM00000037194_1
g133.t1_1	CALCHIM00000037196_1
g134.t1_1	CALCHIM00000037198_1
g135.t1_1	CALCHIM00000050942_1
g136.t2_1	CALCHIM00000037204_1
g137.t1_1	CALCHIM00000033835_1
g138.t1_1	CALCHIM00000017285_1
g139.t1_1	CALCHIM00000024846_1
g141.t1_1	CALCHIM00000017284_1
g142.t1_1	CALCHIM00000017281_1
g143.t1_1	CALCHIM00000017279_1
g144.t1_1	CALCHIM00000017278_1
g145.t2_1	CALCHIM00000052190_1
g146.t1_1	CALCHIM00000052189_1
g148.t1_1	CALCHIM00000052192_1
g149.t2_1	CALCHIM00000052194_1
g150.t1_1	CALCHIM00000052207_1
g151.t1_1	CALCHIM00000052209_1
g152.t1_1	CALCHIM00000020488_1
g153.t1_1	CALCHIM00000052212_1
g154.t1_1	CALCHIM00000052214_1
g155.t1_1	CALCHIM00000052220_1
g157.t2_1	CALCHIM00000052225_1
g164.t1_1	CALCHIM00000052242_1
g165.t1_1	CALCHIM00000052249_1
g166.t1_1	CALCHIM00000052255_1
g169.t1_1	CALCHIM00000014888_1
g170.t1_1	CALCHIM00000014882_1
g171.t1_1	CALCHIM00000014879_1
g172.t1_1	CALCHIM00000014870_1
g173.t1_1	CALCHIM00000014868_1
g174.t1_1	CALCHIM00000014866_1
g175.t1_1	CALCHIM00000014862_1
g177.t1_1	CALCHIM00000014857_1
g179.t1_1	CALCHIM00000042211_1
g180.t1_1	CALCHIM00000055515_1
g181.t1_1	CALCHIM00000044970_1
g182.t2_1	CALCHIM00000044972_1
g183.t1_1	CALCHIM00000044977_1
g184.t1_1	CALCHIM00000044981_1
g185.t1_1	CALCHIM00000044984_1
g186.t1_1	CALCHIM00000044985_1
g187.t1_1	CALCHIM00000056598_1
g188.t1_1	CALCHIM00000056600_1
g191.t1_1	CALCHIM00000056608_1
g192.t1_1	CALCHIM00000027351_1
g193.t1_1	CALCHIM00000045001_1
g194.t1_1	CALCHIM00000044998_1
g195.t1_1	CALCHIM00000044999_1
g197.t1_1	CALCHIM00000045005_1
g199.t1_1	CALCHIM00000045011_1
g200.t1_1	CALCHIM00000058987_1
g201.t1_1	CALCHIM00000045013_1
g202.t1_1	CALCHIM00000018166_1
g204.t1_1	CALCHIM00000055662_1
g205.t1_1	CALCHIM00000035415_1
g206.t2_1	CALCHIM00000035418_1
g207.t1_1	CALCHIM00000035424_1
g208.t1_1	CALCHIM00000035425_1
g211.t2_1	CALCHIM00000035431_1
g212.t3_1	CALCHIM00000035435_1
g213.t1_1	CALCHIM00000035438_1
g214.t1_1	CALCHIM00000035441_1
g215.t2_1	CALCHIM00000035442_1
g216.t1_1	CALCHIM00000035444_1
g217.t1_1	CALCHIM00000035445_1
g218.t1_1	CALCHIM00000035446_1
g219.t1_1	CALCHIM00000035448_1
g220.t1_1	CALCHIM00000035447_1
g221.t1_1	CALCHIM00000035450_1
g222.t1_1	CALCHIM00000035462_1
g224.t1_1	CALCHIM00000055142_1
g225.t1_1	CALCHIM00000055144_1
g226.t1_1	CALCHIM00000059179_1
g227.t1_1	CALCHIM00000055147_1
g228.t1_1	CALCHIM00000055149_1
g229.t1_1	CALCHIM00000055155_1
g230.t1_1	CALCHIM00000055156_1
g231.t1_1	CALCHIM00000055158_1
g232.t1_1	CALCHIM00000055160_1
g233.t1_1	CALCHIM00000055162_1
g235.t1_1	CALCHIM00000034660_1
g236.t1_1	CALCHIM00000007570_1
g237.t1_1	CALCHIM00000030342_1
g238.t1_1	CALCHIM00000030347_1
g239.t1_1	CALCHIM00000030353_1
g241.t1_1	CALCHIM00000030359_1
g242.t1_1	CALCHIM00000030361_1
g243.t1_1	CALCHIM00000042128_1
g244.t1_1	CALCHIM00000035198_1
g248.t3_1	CALCHIM00000035200_1
g249.t1_1	CALCHIM00000035201_1
g250.t1_1	CALCHIM00000035206_1
g252.t1_1	CALCHIM00000035209_1
g253.t1_1	CALCHIM00000035212_1
g254.t1_1	CALCHIM00000035217_1
g255.t1_1	CALCHIM00000035219_1
g256.t1_1	CALCHIM00000035224_1
g257.t1_1	CALCHIM00000035225_1
g258.t1_1	CALCHIM00000035226_1
g259.t1_1	CALCHIM00000035233_1
g260.t1_1	CALCHIM00000035241_1
g261.t1_1	CALCHIM00000035244_1
g262.t1_1	CALCHIM00000045745_1
g263.t1_1	CALCHIM00000035250_1
g264.t1_1	CALCHIM00000035251_1
g265.t1_1	CALCHIM00000035253_1
g268.t1_1	CALCHIM00000035255_1
g269.t1_1	CALCHIM00000035257_1
g270.t1_1	CALCHIM00000035258_1
g273.t1_1	CALCHIM00000035264_1
g274.t1_1	CALCHIM00000035270_1
g275.t1_1	CALCHIM00000035274_1
g276.t1_1	CALCHIM00000035277_1
g277.t1_1	CALCHIM00000046576_1
g278.t2_1	CALCHIM00000035279_1
g279.t1_1	CALCHIM00000035281_1
g280.t1_1	CALCHIM00000035282_1
g281.t1_1	CALCHIM00000035283_1
g282.t1_1	CALCHIM00000035284_1
g283.t2_1	CALCHIM00000035286_1
g284.t1_1	CALCHIM00000035287_1
g285.t2_1	CALCHIM00000035289_1
g286.t1_1	CALCHIM00000035296_1
g287.t1_1	CALCHIM00000022116_1
g288.t1_1	CALCHIM00000022115_1
g289.t1_1	CALCHIM00000022114_1
g291.t2_1	CALCHIM00000022099_1
g298.t1_1	CALCHIM00000022061_1
g299.t1_1	CALCHIM00000041888_1
g300.t1_1	CALCHIM00000035354_1
g301.t1_1	CALCHIM00000035350_1
g302.t1_1	CALCHIM00000035349_1
g303.t1_1	CALCHIM00000035345_1
g304.t1_1	CALCHIM00000035339_1
g307.t1_1	CALCHIM00000035323_1
g309.t1_1	CALCHIM00000035315_1
g310.t3_1	CALCHIM00000035311_1
g311.t1_1	CALCHIM00000035312_1
g312.t1_1	CALCHIM00000035309_1
g313.t1_1	CALCHIM00000035304_1
g314.t1_1	CALCHIM00000035303_1
