chromosome,A_obtectus,B_siliquastri,C_chinensis,C_maculatus,four_way_OG_ID,pairs_OG_IDs_lists
A,rna-AOBTE_LOCUS3-2,BRAKERILHT00000010651,CALCHIM00000000466,g10372.t1,1,"['B_siliquastri_C_maculatus_A-linked_ortholog_6634', 'A_obtectus_C_chinensis_A-linked_ortholog_0', 'A_obtectus_B_siliquastri_A-linked_ortholog_0', 'B_siliquastri_C_chinensis_A-linked_ortholog_7101', 'C_chinensis_C_maculatus_A-linked_ortholog_1035', 'A_obtectus_C_maculatus_A-linked_ortholog_0']"
A,rna-AOBTE_LOCUS4-2,BRAKERILHT00000010748,CALCHIM00000058770,g10373.t1,2,"['B_siliquastri_C_maculatus_A-linked_ortholog_6635', 'A_obtectus_C_chinensis_A-linked_ortholog_1', 'A_obtectus_B_siliquastri_A-linked_ortholog_1', 'B_siliquastri_C_chinensis_A-linked_ortholog_7102', 'C_chinensis_C_maculatus_A-linked_ortholog_8543', 'A_obtectus_C_maculatus_A-linked_ortholog_1']"
A,rna-AOBTE_LOCUS6-3,BRAKERILHT00000010567,CALCHIM00000000452,g10376.t1,3,"['B_siliquastri_C_maculatus_A-linked_ortholog_6395', 'A_obtectus_C_chinensis_A-linked_ortholog_3', 'A_obtectus_B_siliquastri_A-linked_ortholog_3', 'B_siliquastri_C_chinensis_A-linked_ortholog_6848', 'C_chinensis_C_maculatus_A-linked_ortholog_1033', 'A_obtectus_C_maculatus_A-linked_ortholog_3']"
A,rna-AOBTE_LOCUS10,BRAKERILHT00000011786,CALCHIM00000000496,g10363.t3,4,"['B_siliquastri_C_maculatus_A-linked_ortholog_6632', 'A_obtectus_C_chinensis_A-linked_ortholog_7', 'A_obtectus_B_siliquastri_A-linked_ortholog_6', 'B_siliquastri_C_chinensis_A-linked_ortholog_7097', 'C_chinensis_C_maculatus_A-linked_ortholog_1040', 'A_obtectus_C_maculatus_A-linked_ortholog_4']"
A,rna-AOBTE_LOCUS11,BRAKERILHT00000012101,CALCHIM00000000499,g10366.t1,5,"['B_siliquastri_C_maculatus_A-linked_ortholog_6631', 'A_obtectus_C_chinensis_A-linked_ortholog_8', 'A_obtectus_B_siliquastri_A-linked_ortholog_7', 'B_siliquastri_C_chinensis_A-linked_ortholog_7096', 'C_chinensis_C_maculatus_A-linked_ortholog_1041', 'A_obtectus_C_maculatus_A-linked_ortholog_5']"
A,rna-AOBTE_LOCUS15,BRAKERILHT00000011750,CALCHIM00000000505,g10364.t1,6,"['B_siliquastri_C_maculatus_A-linked_ortholog_6630', 'A_obtectus_C_chinensis_A-linked_ortholog_10', 'A_obtectus_B_siliquastri_A-linked_ortholog_8', 'B_siliquastri_C_chinensis_A-linked_ortholog_7095', 'C_chinensis_C_maculatus_A-linked_ortholog_1043', 'A_obtectus_C_maculatus_A-linked_ortholog_7']"
A,rna-AOBTE_LOCUS20-3,BRAKERILHT00000011369,CALCHIM00000000519,g10362.t1,7,"['B_siliquastri_C_maculatus_A-linked_ortholog_6629', 'A_obtectus_C_chinensis_A-linked_ortholog_12', 'A_obtectus_B_siliquastri_A-linked_ortholog_9', 'B_siliquastri_C_chinensis_A-linked_ortholog_7094', 'C_chinensis_C_maculatus_A-linked_ortholog_1044', 'A_obtectus_C_maculatus_A-linked_ortholog_9']"
A,rna-AOBTE_LOCUS24,BRAKERILHT00000010589,CALCHIM00000000541,g10361.t1,8,"['B_siliquastri_C_maculatus_A-linked_ortholog_6628', 'A_obtectus_C_chinensis_A-linked_ortholog_13', 'A_obtectus_B_siliquastri_A-linked_ortholog_10', 'B_siliquastri_C_chinensis_A-linked_ortholog_7092', 'C_chinensis_C_maculatus_A-linked_ortholog_1045', 'A_obtectus_C_maculatus_A-linked_ortholog_10']"
A,rna-AOBTE_LOCUS37,BRAKERILHT00000012118,CALCHIM00000000578,g10358.t1,9,"['B_siliquastri_C_maculatus_A-linked_ortholog_6627', 'A_obtectus_C_chinensis_A-linked_ortholog_16', 'A_obtectus_B_siliquastri_A-linked_ortholog_11', 'B_siliquastri_C_chinensis_A-linked_ortholog_7091', 'C_chinensis_C_maculatus_A-linked_ortholog_1047', 'A_obtectus_C_maculatus_A-linked_ortholog_11']"
A,rna-AOBTE_LOCUS39,BRAKERILHT00000011635,CALCHIM00000000579,g10357.t1,10,"['B_siliquastri_C_maculatus_A-linked_ortholog_6626', 'A_obtectus_C_chinensis_A-linked_ortholog_17', 'A_obtectus_B_siliquastri_A-linked_ortholog_12', 'B_siliquastri_C_chinensis_A-linked_ortholog_7090', 'C_chinensis_C_maculatus_A-linked_ortholog_1048', 'A_obtectus_C_maculatus_A-linked_ortholog_12']"
