g6.t1_1	BRAKERILHT00000001257_1
g7.t1_1	BRAKERILHT00000001492_1
g8.t1_1	BRAKERILHT00000002434_1
g10.t1_1	BRAKERILHT00000000800_1
g13.t1_1	BRAKERILHT00000000954_1
g15.t1_1	BRAKERILHT00000001487_1
g16.t1_1	BRAKERILHT00000000992_1
g17.t1_1	BRAKERILHT00000000699_1
g18.t1_1	BRAKERILHT00000000199_1
g21.t2_1	BRAKERILHT00000001472_1
g25.t2_1	BRAKERILHT00000000444_1
g26.t1_1	BRAKERILHT00000001033_1
g28.t1_1	BRAKERILHT00000001481_1
g29.t1_1	BRAKERILHT00000001976_1
g30.t1_1	BRAKERILHT00000000194_1
g31.t1_1	BRAKERILHT00000000787_1
g32.t1_1	BRAKERILHT00000001112_1
g35.t1_1	BRAKERILHT00000001710_1
g36.t1_1	BRAKERILHT00000001296_1
g37.t1_1	BRAKERILHT00000002090_1
g41.t1_1	BRAKERILHT00000000368_1
g44.t1_1	BRAKERILHT00000000433_1
g47.t1_1	BRAKERILHT00000001809_1
g48.t1_1	BRAKERILHT00000000529_1
g49.t1_1	BRAKERILHT00000000806_1
g51.t1_1	BRAKERILHT00000001156_1
g52.t1_1	BRAKERILHT00000001783_1
g57.t1_1	BRAKERILHT00000001342_1
g58.t2_1	BRAKERILHT00000001671_1
g60.t1_1	BRAKERILHT00000001430_1
g62.t1_1	BRAKERILHT00000001977_1
g63.t1_1	BRAKERILHT00000000971_1
g64.t1_1	BRAKERILHT00000000345_1
g65.t2_1	BRAKERILHT00000000006_1
g66.t1_1	BRAKERILHT00000001194_1
g67.t1_1	BRAKERILHT00000000540_1
g69.t2_1	BRAKERILHT00000001777_1
g71.t1_1	BRAKERILHT00000001183_1
g72.t1_1	BRAKERILHT00000001891_1
g73.t1_1	BRAKERILHT00000000003_1
g74.t1_1	BRAKERILHT00000000657_1
g75.t1_1	BRAKERILHT00000000436_1
g80.t5_1	BRAKERILHT00000001037_1
g81.t1_1	BRAKERILHT00000001725_1
g82.t1_1	BRAKERILHT00000005544_1
g83.t1_1	BRAKERILHT00000000075_1
g84.t1_1	BRAKERILHT00000001795_1
g85.t1_1	BRAKERILHT00000001312_1
g86.t1_1	BRAKERILHT00000000313_1
g89.t1_1	BRAKERILHT00000001071_1
g90.t1_1	BRAKERILHT00000001544_1
g91.t1_1	BRAKERILHT00000002055_1
g94.t1_1	BRAKERILHT00000000818_1
g95.t1_1	BRAKERILHT00000000239_1
g96.t1_1	BRAKERILHT00000001828_1
g99.t1_1	BRAKERILHT00000001178_1
g102.t1_1	BRAKERILHT00000000994_1
g103.t2_1	BRAKERILHT00000001496_1
g106.t1_1	BRAKERILHT00000000742_1
g107.t1_1	BRAKERILHT00000001321_1
g111.t1_1	BRAKERILHT00000001451_1
g112.t1_1	BRAKERILHT00000000964_1
g114.t1_1	BRAKERILHT00000000483_1
g115.t1_1	BRAKERILHT00000000659_1
g117.t1_1	BRAKERILHT00000000107_1
g119.t1_1	BRAKERILHT00000000746_1
g120.t1_1	BRAKERILHT00000001669_1
g122.t1_1	BRAKERILHT00000001125_1
g124.t1_1	BRAKERILHT00000000920_1
g125.t1_1	BRAKERILHT00000000057_1
g126.t1_1	BRAKERILHT00000002111_1
g127.t1_1	BRAKERILHT00000001495_1
g128.t1_1	BRAKERILHT00000001237_1
g131.t1_1	BRAKERILHT00000002070_1
g132.t1_1	BRAKERILHT00000001884_1
g133.t1_1	BRAKERILHT00000000880_1
g134.t1_1	BRAKERILHT00000000656_1
g135.t1_1	BRAKERILHT00000001272_1
g136.t2_1	BRAKERILHT00000002126_1
g138.t1_1	BRAKERILHT00000002149_1
g139.t1_1	BRAKERILHT00000011856_1
g142.t1_1	BRAKERILHT00000001211_1
g143.t1_1	BRAKERILHT00000000646_1
g144.t1_1	BRAKERILHT00000000017_1
g145.t2_1	BRAKERILHT00000000616_1
g146.t1_1	BRAKERILHT00000002132_1
g147.t2_1	BRAKERILHT00000001722_1
g148.t1_1	BRAKERILHT00000001062_1
g149.t2_1	BRAKERILHT00000002025_1
g150.t1_1	BRAKERILHT00000000031_1
g152.t1_1	BRAKERILHT00000002009_1
g153.t1_1	BRAKERILHT00000002158_1
g155.t1_1	BRAKERILHT00000001408_1
g157.t2_1	BRAKERILHT00000000466_1
g162.t1_1	BRAKERILHT00000012544_1
g164.t1_1	BRAKERILHT00000000899_1
g166.t1_1	BRAKERILHT00000001180_1
g169.t1_1	BRAKERILHT00000001053_1
g170.t1_1	BRAKERILHT00000001308_1
g171.t1_1	BRAKERILHT00000001776_1
g172.t1_1	BRAKERILHT00000000680_1
g173.t1_1	BRAKERILHT00000001080_1
g174.t1_1	BRAKERILHT00000001609_1
g176.t1_1	BRAKERILHT00000001411_1
g179.t1_1	BRAKERILHT00000008254_1
g181.t1_1	BRAKERILHT00000000621_1
g182.t2_1	BRAKERILHT00000001084_1
g183.t1_1	BRAKERILHT00000002073_1
g184.t1_1	BRAKERILHT00000000120_1
g185.t1_1	BRAKERILHT00000002121_1
g186.t1_1	BRAKERILHT00000001849_1
g187.t1_1	BRAKERILHT00000000100_1
g191.t1_1	BRAKERILHT00000000378_1
g193.t1_1	BRAKERILHT00000000461_1
g194.t1_1	BRAKERILHT00000010744_1
g195.t1_1	BRAKERILHT00000000527_1
g197.t1_1	BRAKERILHT00000000909_1
g199.t1_1	BRAKERILHT00000001590_1
g200.t1_1	BRAKERILHT00000001857_1
g201.t1_1	BRAKERILHT00000000151_1
g202.t1_1	BRAKERILHT00000014759_1
g203.t1_1	BRAKERILHT00000000635_1
g204.t1_1	BRAKERILHT00000001083_1
g205.t1_1	BRAKERILHT00000001131_1
g206.t2_1	BRAKERILHT00000000798_1
g207.t1_1	BRAKERILHT00000001463_1
g208.t1_1	BRAKERILHT00000000845_1
g211.t2_1	BRAKERILHT00000000365_1
g212.t3_1	BRAKERILHT00000001324_1
g213.t1_1	BRAKERILHT00000001674_1
g214.t1_1	BRAKERILHT00000000422_1
g215.t2_1	BRAKERILHT00000000889_1
g216.t1_1	BRAKERILHT00000001383_1
g218.t1_1	BRAKERILHT00000001661_1
g219.t1_1	BRAKERILHT00000000167_1
g220.t1_1	BRAKERILHT00000000660_1
g221.t1_1	BRAKERILHT00000001121_1
g222.t1_1	BRAKERILHT00000000558_1
g224.t1_1	BRAKERILHT00000000346_1
g225.t1_1	BRAKERILHT00000001971_1
g226.t1_1	BRAKERILHT00000001297_1
g227.t1_1	BRAKERILHT00000000071_1
g228.t1_1	BRAKERILHT00000001670_1
g229.t1_1	BRAKERILHT00000000623_1
g230.t1_1	BRAKERILHT00000000106_1
g231.t1_1	BRAKERILHT00000001058_1
g232.t1_1	BRAKERILHT00000001529_1
g233.t1_1	BRAKERILHT00000002017_1
g236.t1_1	BRAKERILHT00000001853_1
g237.t1_1	BRAKERILHT00000000731_1
g238.t1_1	BRAKERILHT00000002062_1
g239.t1_1	BRAKERILHT00000000516_1
g240.t1_1	BRAKERILHT00000000068_1
g241.t1_1	BRAKERILHT00000001950_1
g242.t1_1	BRAKERILHT00000001952_1
g243.t1_1	BRAKERILHT00000001443_1
g244.t1_1	BRAKERILHT00000000410_1
g245.t1_1	BRAKERILHT00000001775_1
g246.t1_1	BRAKERILHT00000007446_1
g248.t3_1	BRAKERILHT00000000014_1
g249.t1_1	BRAKERILHT00000001239_1
