orthogroup	D_carinulata	D_sublineata	A_obtectus	B_siliquastri	C_maculatus	C_chinensis
N0.HOG0000072	0	0	0	0	0	0
N0.HOG0000151	0	0	0	0	0	0
N0.HOG0000152	0	0	0	0	0	0
N0.HOG0000153	0	0	0	0	0	0
N0.HOG0000158	0	0	0	0	0	0
N0.HOG0000274	0	0	0	0	0	0
N0.HOG0000506	0	0	0	0	0	0
N0.HOG0000510	0	0	0	0	0	0
N0.HOG0000511	0	0	0	0	0	0
N0.HOG0000679	0	1	0	0	0	0
N0.HOG0000680	0	0	0	0	0	0
N0.HOG0000743	0	0	0	0	0	0
N0.HOG0000872	0	0	0	0	0	0
N0.HOG0000875	1	0	0	0	0	0
N0.HOG0000899	0	0	0	0	0	0
N0.HOG0000966	0	1	1	1	1	1
N0.HOG0000991	0	0	0	0	0	0
N0.HOG0001007	1	0	0	0	0	0
N0.HOG0001011	0	0	0	0	0	0
N0.HOG0001080	0	0	0	0	0	0
N0.HOG0001085	0	1	1	1	1	1
N0.HOG0001088	0	1	1	1	1	1
N0.HOG0001092	0	1	1	1	1	0
N0.HOG0001093	0	1	1	1	1	1
N0.HOG0001113	0	0	0	0	0	0
N0.HOG0001122	0	0	0	0	0	0
N0.HOG0001130	0	1	0	0	0	0
N0.HOG0001138	0	0	0	0	0	0
N0.HOG0001141	0	0	0	0	0	0
N0.HOG0001166	0	0	0	0	0	0
N0.HOG0001262	0	0	0	0	0	0
N0.HOG0001263	0	0	0	0	0	0
N0.HOG0001264	0	0	0	0	0	0
N0.HOG0001277	0	0	0	0	0	0
N0.HOG0001278	0	0	0	0	0	0
N0.HOG0001285	0	0	0	0	0	0
N0.HOG0001286	1	0	0	0	0	0
N0.HOG0001288	0	0	0	0	0	0
N0.HOG0001289	0	0	0	0	0	0
N0.HOG0001316	1	0	0	0	0	0
N0.HOG0001317	1	0	0	0	0	0
N0.HOG0001418	0	0	0	0	0	0
N0.HOG0001426	0	1	1	1	1	1
N0.HOG0001437	0	0	0	0	0	0
N0.HOG0001470	0	0	0	0	0	0
N0.HOG0001493	0	0	0	0	0	0
N0.HOG0001677	1	0	0	0	0	0
N0.HOG0001688	0	0	0	0	0	0
N0.HOG0001706	0	0	0	0	0	0
N0.HOG0001904	0	0	0	0	0	0
N0.HOG0002074	0	0	0	0	0	0
N0.HOG0002480	1	0	0	0	0	0
N0.HOG0005416	0	0	0	0	0	0
N0.HOG0005418	0	0	0	0	0	0
N0.HOG0005419	0	0	0	0	0	0
N0.HOG0005420	0	0	0	0	0	0
N0.HOG0005421	0	0	0	0	0	0
N0.HOG0005422	0	0	0	0	0	0
N0.HOG0005423	0	0	0	0	0	0
