g6.t1_1	g12309.t1_1
g7.t1_1	g11444.t1_1
g8.t1_1	g17080.t1_1
g10.t1_1	g8373.t1_1
g11.t1_1	g4055.t1_1
g12.t1_1	g4053.t1_1
g13.t1_1	g4052.t1_1
g14.t1_1	g2921.t1_1
g15.t1_1	g5006.t1_1
g16.t1_1	g7965.t1_1
g17.t1_1	g5780.t1_1
g18.t1_1	g8748.t1_1
g19.t1_1	g9732.t1_1
g21.t2_1	g8746.t1_1
g25.t2_1	g8058.t1_1
g26.t1_1	g14475.t1_1
g28.t1_1	g8742.t1_1
g29.t1_1	g8741.t1_1
g30.t1_1	g8740.t1_1
g31.t1_1	g8739.t1_1
g32.t1_1	g9109.t1_1
g35.t1_1	g8642.t1_1
g36.t1_1	g8316.t1_1
g49.t1_1	g10875.t1_1
g57.t1_1	g10932.t1_1
g60.t1_1	g10931.t1_1
g62.t1_1	g10929.t1_1
g63.t1_1	g11120.t1_1
g64.t1_1	g11119.t1_1
g65.t2_1	g10498.t1_1
g66.t1_1	g10121.t1_1
g67.t1_1	g10118.t1_1
g69.t2_1	g5594.t1_1
g71.t1_1	g13304.t1_1
g72.t1_1	g10524.t1_1
g73.t1_1	g5415.t1_1
g74.t1_1	g2039.t1_1
g80.t5_1	g10786.t1_1
g81.t1_1	g9572.t1_1
g82.t1_1	g17638.t1_1
g83.t1_1	g10433.t1_1
g84.t1_1	g11150.t1_1
g85.t1_1	g11148.t1_1
g89.t1_1	g14338.t1_1
g90.t1_1	g11145.t1_1
g91.t1_1	g10895.t1_1
g94.t1_1	g10896.t1_1
g95.t1_1	g10196.t1_1
g96.t1_1	g11101.t1_1
g99.t1_1	g10538.t1_1
g100.t1_1	g11650.t1_1
g111.t1_1	g10913.t1_1
g112.t1_1	g9888.t1_1
g115.t1_1	g10426.t1_1
g117.t1_1	g11743.t1_1
g119.t1_1	g13583.t1_1
g120.t1_1	g10422.t1_1
g121.t1_1	g9584.t1_1
g122.t1_1	g11157.t1_1
g125.t1_1	g10181.t1_1
g126.t1_1	g1154.t1_1
g132.t1_1	g14376.t1_1
g133.t1_1	g4520.t1_1
g134.t1_1	g11093.t1_1
g135.t1_1	g11089.t1_1
g136.t2_1	g11088.t1_1
g137.t1_1	g11454.t1_1
g138.t1_1	g1666.t1_1
g139.t1_1	g15998.t1_1
g142.t1_1	g1664.t1_1
g143.t1_1	g1665.t1_1
g145.t2_1	g4996.t1_1
g146.t1_1	g4999.t1_1
g148.t1_1	g7908.t1_1
g149.t2_1	g5471.t2_1
g150.t1_1	g5473.t1_1
g152.t1_1	g6635.t1_1
g153.t1_1	g6636.t1_1
g154.t1_1	g5474.t1_1
g155.t1_1	g6861.t1_1
g157.t2_1	g6834.t1_1
g161.t1_1	g16033.t1_1
g164.t1_1	g6595.t1_1
g166.t1_1	g6385.t1_1
g167.t1_1	g5556.t1_1
g169.t1_1	g8139.t1_1
g170.t1_1	g8142.t1_1
g172.t1_1	g8147.t1_1
g173.t1_1	g7891.t1_1
g174.t1_1	g6575.t1_1
g176.t1_1	g5816.t1_1
g182.t2_1	g7840.t1_1
g183.t1_1	g7839.t2_1
g184.t1_1	g8752.t1_1
g185.t1_1	g8986.t1_1
g186.t1_1	g8532.t1_1
g187.t1_1	g8751.t1_1
g193.t1_1	g13924.t1_1
g197.t1_1	g13923.t1_1
g199.t1_1	g13921.t1_1
g200.t1_1	g13917.t1_1
g201.t1_1	g13916.t1_1
g203.t1_1	g13958.t1_1
g204.t1_1	g14083.t1_1
g205.t1_1	g13884.t1_1
g208.t1_1	g13897.t1_1
g211.t2_1	g13896.t1_1
g212.t3_1	g13956.t1_1
g213.t1_1	g14140.t1_1
g214.t1_1	g14478.t1_1
g215.t2_1	g14479.t1_1
g216.t1_1	g14081.t1_1
g217.t1_1	g17208.t1_1
g221.t1_1	g8606.t1_1
g222.t1_1	g8029.t1_1
g224.t1_1	g8033.t1_1
g225.t1_1	g8034.t1_1
g226.t1_1	g8070.t1_1
g227.t1_1	g7933.t1_1
g228.t1_1	g8816.t1_1
g229.t1_1	g8932.t1_1
g230.t1_1	g8931.t1_1
g231.t1_1	g7931.t1_1
g232.t1_1	g8930.t1_1
g233.t1_1	g8826.t1_1
g235.t1_1	g17691.t1_1
g236.t1_1	g14297.t1_1
g237.t1_1	g14298.t1_1
g239.t1_1	g14543.t1_1
g240.t1_1	g14542.t1_1
g241.t1_1	g14541.t1_1
g248.t3_1	g10525.t1_1
g249.t1_1	g13777.t1_1
g250.t1_1	g14211.t1_1
g252.t1_1	g14213.t1_1
g254.t1_1	g6795.t1_1
g255.t1_1	g14133.t1_1
g258.t1_1	g14783.t1_1
g259.t1_1	g14789.t1_1
g260.t1_1	g14791.t1_1
g261.t1_1	g14792.t1_1
g263.t1_1	g12444.t1_1
g264.t1_1	g12269.t1_1
g265.t1_1	g17268.t1_1
g268.t1_1	g7735.t1_1
g269.t1_1	g11099.t1_1
g270.t1_1	g14599.t1_1
g273.t1_1	g12307.t1_1
g275.t1_1	g4823.t1_1
g276.t1_1	g16710.t1_1
g277.t1_1	g16717.t1_1
g278.t2_1	g17137.t1_1
g279.t1_1	g17042.t1_1
g280.t1_1	g16845.t1_1
g281.t1_1	g16846.t1_1
g282.t1_1	g16766.t1_1
g283.t2_1	g17144.t1_1
g285.t2_1	g9710.t1_1
g286.t1_1	g17286.t1_1
g287.t1_1	g16270.t1_1
g288.t1_1	g16269.t1_1
g289.t1_1	g16268.t1_1
g291.t2_1	g14428.t1_1
g295.t1_1	g1020.t1_1
g298.t1_1	g7233.t1_1
g299.t1_1	g6070.t1_1
g300.t1_1	g16799.t1_1
g301.t1_1	g16800.t1_1
g302.t1_1	g17564.t1_1
g303.t1_1	g17563.t1_1
g304.t1_1	g16639.t1_1
g305.t1_1	g17190.t1_1
g309.t1_1	g17183.t1_1
g310.t3_1	g16786.t1_1
g311.t1_1	g16787.t1_1
g312.t1_1	g17121.t2_1
g313.t1_1	g16961.t1_1
g314.t1_1	g16834.t1_1
g315.t1_1	g13750.t1_1
g317.t3_1	g14793.t1_1
g318.t1_1	g8301.t1_1
g319.t2_1	g14794.t1_1
g320.t1_1	g14795.t1_1
g321.t1_1	g14936.t1_1
g323.t1_1	g14940.t1_1
g324.t1_1	g14333.t1_1
g325.t1_1	g14331.t1_1
g329.t1_1	g8025.t1_1
g330.t1_1	g14328.t1_1
g332.t1_1	g14327.t1_1
g335.t1_1	g14971.t1_1
g336.t1_1	g13824.t1_1
g337.t2_1	g14325.t1_1
g339.t1_1	g14319.t3_1
g341.t1_1	g14249.t1_1
g342.t1_1	g14395.t1_1
g343.t1_1	g15621.t1_1
g344.t3_1	g14972.t1_1
g345.t1_1	g14970.t1_1
g349.t1_1	g13762.t1_1
g350.t1_1	g12821.t1_1
g352.t1_1	g13767.t1_1
g355.t1_1	g16355.t1_1
g358.t1_1	g16480.t1_1
g359.t1_1	g13796.t1_1
g360.t2_1	g13795.t1_1
g361.t1_1	g13797.t1_1
g362.t1_1	g14758.t2_1
g363.t1_1	g15124.t1_1
g364.t1_1	g14670.t1_1
g365.t2_1	g14586.t1_1
g368.t1_1	g17718.t1_1
g369.t1_1	g16469.t1_1
g371.t3_1	g17296.t2_1
g374.t1_1	g17302.t1_1
g375.t1_1	g17299.t1_1
g376.t1_1	g17300.t2_1
g377.t2_1	g17269.t1_1
