Cmac_transcript_ID	conservation_rank	abdomen_sex_bias_category	head_thorax_sex_bias_category
g11816.t1	2	1	0
g4954.t3	5	0	0
g4606.t1	5	1	0
g6457.t1	5	-1	-1
g2461.t1	2	-1	-1
g8134.t1	3	-1	-1
g3338.t1	5	-1	-1
g1376.t1	3	-1	-1
g992.t2	5	-1	-1
g14168.t2	5	-1	-1
g1326.t1	4	-1	0
g14776.t1	5	1	1
g595.t1	5	1	0
g6303.t1	4	0	0
g8862.t1	5	-1	0
g11214.t1	5	1	0
g3536.t1	5	0	0
g4628.t1	4	1	0
g9353.t1	5	-1	0
g8802.t1	5	1	0
g6346.t1	5	1	0
g7529.t1	5	0	0
g12095.t1	5	0	0
g12623.t1	5	0	1
g11991.t1	5	1	0
g1750.t1	4	0	-1
g10343.t1	4	0	0
g8189.t3	5	0	0
g13604.t1	5	1	0
g11913.t1	2	0	0
g12985.t1	5	1	0
g8359.t1	3	-1	0
g4022.t2	4	-1	0
g10312.t1	5	1	0
g11528.t1	4	0	0
g12886.t1	5	0	-1
g13272.t1	5	0	-1
g3301.t1	2	-1	0
g339.t1	4	0	0
g7165.t1	4	0	0
g9542.t1	5	0	0
g6216.t1	4	-1	-1
g2471.t1	3	0	0
g427.t4	5	-1	-1
g9744.t1	5	1	0
g547.t1	4	1	0
g9217.t1	5	-1	-1
g4158.t1	5	1	1
g10784.t1	5	1	1
g999.t1	5	-1	0
g9401.t1	5	0	0
g5360.t1	4	1	1
g9172.t1	5	-1	-1
g10783.t1	5	0	-1
g4053.t1	5	0	0
g4601.t1	5	1	0
g11442.t1	4	1	-1
g9784.t1	5	0	0
g7851.t1	5	-1	-1
g174.t1	5	-1	0
g6112.t1	5	0	0
g12189.t3	4	1	-1
g10093.t1	5	1	0
g8308.t1	4	0	0
g9828.t1	3	0	-1
g2226.t1	5	-1	-1
g6102.t1	2	-1	-1
g3157.t1	4	-1	-1
g10840.t1	5	-1	0
g4462.t1	4	0	1
g9150.t4	5	-1	1
g3259.t1	4	-1	0
g7775.t1	5	1	0
g7940.t2	5	0	0
g4507.t2	5	-1	-1
g10636.t1	5	1	1
g535.t1	5	1	0
g5766.t1	5	0	-1
g838.t1	2	-1	0
g6794.t1	3	1	1
g12019.t2	4	0	0
g13150.t2	5	-1	-1
g2734.t1	5	1	-1
g9893.t1	5	0	0
g6714.t1	5	-1	-1
g13168.t1	5	1	1
g11757.t1	5	-1	-1
g4995.t1	5	0	1
g8950.t1	5	1	1
g6842.t1	4	1	0
g9933.t1	3	-1	0
g2693.t1	4	-1	-1
g11360.t1	5	0	0
g13344.t1	4	-1	-1
g12217.t1	5	-1	0
g3749.t1	5	0	0
g8995.t1	4	-1	1
g5867.t1	5	1	0
g14062.t2	5	1	-1
g14257.t1	5	1	0
g636.t1	5	-1	-1
g57.t1	5	1	0
g2346.t1	4	1	1
g12326.t1	5	1	0
g2008.t1	3	0	0
g13953.t1	3	-1	0
g7153.t1	3	-1	-1
g4690.t2	4	1	-1
g7998.t1	5	1	0
g8248.t1	5	-1	-1
g9632.t1	2	0	0
g437.t1	5	1	0
g7090.t1	3	-1	-1
g14019.t1	5	1	0
g679.t1	5	-1	0
g8041.t1	3	1	0
g4734.t1	2	1	1
g12446.t1	5	1	0
g5636.t1	5	1	1
g3641.t1	4	-1	-1
g12693.t1	4	-1	-1
g10850.t1	5	1	1
g5521.t1	5	-1	0
g12378.t1	2	-1	-1
g13446.t1	5	1	1
g10737.t1	5	0	0
g2621.t1	5	1	1
g7877.t1	4	-1	0
g5920.t1	5	1	1
g13466.t2	5	1	1
g8920.t1	5	-1	-1
g1070.t2	5	1	0
g3402.t2	5	1	1
g3167.t1	5	1	0
g5173.t1	3	0	0
g6980.t1	5	-1	-1
g11314.t1	5	1	0
g14791.t3	5	1	0
g5119.t1	4	-1	-1
g136.t2	5	1	1
g14013.t1	5	0	0
g651.t2	5	1	1
g2163.t1	4	-1	-1
g8039.t2	5	-1	-1
g6910.t1	5	1	0
g11076.t1	2	-1	0
g1170.t1	5	0	-1
g12153.t1	5	-1	-1
g14372.t1	5	1	0
g2619.t1	5	-1	0
g13424.t1	5	1	1
g3900.t1	5	0	0
g1808.t1	4	1	0
g2239.t1	5	0	0
g11954.t1	5	0	-1
g13502.t1	5	-1	-1
g6882.t1	5	-1	-1
g8890.t1	5	-1	-1
g3669.t3	5	-1	0
g13464.t1	5	-1	0
g11008.t3	4	0	0
g13030.t1	5	1	1
g13296.t1	5	1	0
g12664.t1	4	1	0
g10043.t1	5	1	1
g1846.t1	5	1	-1
g11295.t1	4	-1	-1
g13890.t1	4	-1	0
g6934.t1	5	0	-1
g8686.t1	5	0	0
g6194.t1	5	-1	-1
g72.t1	5	1	1
g7966.t1	5	0	1
g9612.t1	5	1	0
g5601.t1	5	1	0
g8530.t2	2	-1	-1
g6982.t1	5	-1	-1
g805.t1	4	1	1
g261.t1	4	1	0
g14653.t2	5	-1	0
g820.t1	5	1	-1
g224.t1	5	1	0
g884.t1	4	1	1
g2104.t1	5	1	1
g3218.t1	5	0	-1
g7942.t1	5	1	-1
g13187.t1	5	1	0
g2695.t1	4	1	0
g11583.t1	5	1	1
g6032.t1	3	-1	-1
g7700.t2	5	0	0
g9735.t1	5	-1	-1
g8982.t1	5	-1	0
g2597.t1	4	-1	0
g13518.t2	5	0	0
g5868.t1	5	1	0
g11838.t5	5	-1	0
g9080.t1	5	0	0
g9719.t1	5	1	0
g12226.t1	5	1	-1
g10688.t1	4	-1	-1
g11430.t1	4	1	-1
g4204.t2	5	1	0
g907.t1	4	-1	0
g10468.t1	5	1	1
g4844.t1	5	1	-1
g12293.t1	5	1	1
g8088.t1	5	-1	-1
g644.t2	5	1	0
g7141.t1	5	1	1
g5054.t1	5	-1	0
g11235.t1	5	-1	-1
g4902.t1	5	-1	-1
g9712.t1	5	0	0
g7013.t1	5	-1	-1
g3950.t1	3	0	0
g11686.t1	4	-1	-1
g11326.t1	4	0	0
g13583.t1	5	1	1
g5861.t1	5	0	-1
g10065.t1	5	1	0
g12869.t1	4	-1	0
g6404.t1	3	-1	-1
g10225.t1	4	0	0
