focal_species	other_species	ortholog_number	focal_transcript	other_transcript	dN	dS	dN/dS	focal_gene_ID	LFC_abdomen	FDR_pval_abdomen	LFC_head+thorax	FDR_pval_head+thorax	level_most_dist_ortholog	orthogroup_ID	positive_selection
C_maculatus	B_siliquastri	3719	g4954.t3	BRAKERILHT00000008046	0.069	0.4819	0.14318323303589958	g4954	-0.149831444539548	0.44732890851441	-0.208977965595633	0.369312435232625	5	2571	True
C_maculatus	B_siliquastri	6979	g4606.t1	BRAKERILHT00000013364	0.0647	0.8	0.08087499999999999	g4606	1.0695539335695	6.55660174333068e-17	0.0034585716789841	0.987801088439379	5	4157	False
C_maculatus	B_siliquastri	5209	g6457.t1	BRAKERILHT00000010040	0.0499	1.123	0.04443455031166518	g6457	-2.23156213545996	8.45027248171677e-05	-1.83678754859886	1.9373542779762e-09	5	4677	False
C_maculatus	B_siliquastri	2719	g8134.t1	BRAKERILHT00000004769	0.1635	1.0127	0.16144959020440408	g8134	-12.6246412454718	3.55309904812078e-12	-6.95099350661466	0.0001577328360488	3	5771	False
C_maculatus	B_siliquastri	8747	g3338.t1	BRAKERILHT00000016162	0.0227	0.5441	0.04172027200882191	g3338	-1.83589254708058	1.18892477669474e-16	-0.963756159003873	9.28847118761368e-08	5	6765	False
C_maculatus	B_siliquastri	784	g992.t2	BRAKERILHT00000002155	0.0719	0.4383	0.16404289299566507	g992	-1.97759194586162	1.42453718622386e-21	-1.05505737373524	6.32916419924818e-11	5	3155	False
C_maculatus	B_siliquastri	7979	g14168.t2	BRAKERILHT00000014407	0.139	0.8666	0.1603969536118163	g14168	-0.547828773114697	4.6482639062998e-06	-0.397691926409269	0.0049899311166048	5	6421	False
C_maculatus	B_siliquastri	355	g1326.t1	BRAKERILHT00000001409	0.1264	0.4829	0.2617519155104577	g1326	-2.4191728763862	3.58003396016758e-05	-0.998136339905651	0.125108347395818	4	3250	False
C_maculatus	B_siliquastri	8702	g14776.t1	BRAKERILHT00000016020	0.4016	1.1211	0.35821960574435824	g14776	2.81556812311627	6.51397656879369e-34	1.19040344594459	5.61597377025495e-06	5	6669	False
C_maculatus	B_siliquastri	478	g595.t1	BRAKERILHT00000000440	0.3173	1.1656	0.2722203157172272	g595	0.9738905111376	3.64565520415312e-09	0.15503299160764	0.500086265204547	5	2968	False
C_maculatus	B_siliquastri	5561	g6303.t1	BRAKERILHT00000009501	0.0201	0.5533	0.0363274896078077	g6303	-0.104793665836238	0.349636064979529	-0.176037925429781	0.1620988132095	4	4852	False
C_maculatus	B_siliquastri	2832	g8862.t1	BRAKERILHT00000004723	0.0062	0.4521	0.013713780137137801	g8862	-0.289919141801836	0.0169252857201101	-0.0335832713770716	0.837647452962075	5	5424	False
C_maculatus	B_siliquastri	2071	g11214.t1	BRAKERILHT00000003434	0.0357	0.6159	0.05796395518753045	g11214	1.78042577975974	4.3976452353876e-11	-0.453445926737166	0.184523146057345	5	1827	False
C_maculatus	B_siliquastri	7283	g4628.t1	BRAKERILHT00000012717	0.0217	0.3184	0.06815326633165829	g4628	1.64527008249032	6.10890487727823e-17	0.0645902714121954	0.818735196698996	4	4170	True
C_maculatus	B_siliquastri	8829	g9353.t1	BRAKERILHT00000016553	0.0266	0.7228	0.03680132816823464	g9353	-2.80936226007784	8.97790912970026e-11	-0.339722499673626	0.293724239015896	5	6819	False
C_maculatus	B_siliquastri	2877	g8802.t1	BRAKERILHT00000004636	0.0292	0.5217	0.05597086448150278	g8802	0.565121127757878	2.70303066215884e-07	0.0605157971243255	0.687299040485211	5	5471	False
C_maculatus	B_siliquastri	5524	g6346.t1	BRAKERILHT00000008539	0.0519	1.3296	0.03903429602888087	g6346	0.943237069307303	4.08095271330188e-05	0.147960520598697	0.616031281325683	5	4768	False
C_maculatus	B_siliquastri	7652	g7529.t1	BRAKERILHT00000014087	0.0768	0.9887	0.07767775867300494	g7529		1.0		1.0	5	6244	True
C_maculatus	B_siliquastri	2034	g12095.t1	BRAKERILHT00000002252	0.0167	0.6588	0.02534911961141469	g12095	-0.177718740428131	0.161343672129771	0.0624907630719929	0.695619841719042	5	1595	False
C_maculatus	B_siliquastri	3832	g12623.t1	BRAKERILHT00000007004	0.012	0.4146	0.02894356005788712	g12623	-0.141139601045733	0.326307077313358	0.540968737196887	0.0002839180533593	5	2647	False
C_maculatus	B_siliquastri	1307	g11991.t1	BRAKERILHT00000004371	0.0484	0.6646	0.07282575985555222	g11991	1.99800500367815	3.23324607901416e-26	0.369035420155265	0.0874931326266545	5	1094	False
C_maculatus	B_siliquastri	3877	g12985.t1	BRAKERILHT00000007295	0.0491	0.4452	0.11028751123090745	g12985	0.350114838400484	0.0253934385275249	0.216595200431242	0.30419528876327	5	2252	False
C_maculatus	B_siliquastri	3034	g8359.t1	BRAKERILHT00000005813	0.118	0.673	0.17533432392273401	g8359	-0.722903202038723	1.17210635471305e-07	-0.113622495610035	0.503055150326256	3	5592	False
C_maculatus	B_siliquastri	6652	g4022.t2	BRAKERILHT00000012999	0.0491	0.5788	0.08483068417415342	g4022	-0.34649781862194	0.0072366492703946	-0.0347856164901702	0.847374414427557	4	3761	True
C_maculatus	B_siliquastri	6283	g10312.t1	BRAKERILHT00000012002	0.0279	0.6025	0.04630705394190871	g10312	0.451332669111753	6.94181566384816e-06	-0.179311548526936	0.130543017884891	5	381	False
C_maculatus	B_siliquastri	3418	g12886.t1	BRAKERILHT00000007928	0.0411	0.4117	0.09982997328151566	g12886	-0.207100870461737	0.148874202908877	-0.763180398955589	1.64100704060362e-07	5	2578	False
C_maculatus	B_siliquastri	4108	g13272.t1	BRAKERILHT00000006739	0.0162	0.6058	0.026741498844503133	g13272	0.148068706912148	0.14944207783191	-0.371746688610763	0.0002830174933664	5	2331	True
C_maculatus	B_siliquastri	852	g339.t1	BRAKERILHT00000001351	0.1587	0.7216	0.2199279379157428	g339	-0.368635359404554	0.236313808662301	-0.266336480109317	0.499109008918694	4	3386	True
C_maculatus	B_siliquastri	8097	g9542.t1	BRAKERILHT00000014279	0.0921	0.6559	0.14041774660771458	g9542	-0.116357136582188	0.435534108928544	0.170493552420824	0.332954664717865	5	6327	False
C_maculatus	B_siliquastri	5108	g6216.t1	BRAKERILHT00000009951	0.0278	0.7633	0.03642080440193895	g6216	-11.0864563117887	4.04717947856306e-10	-6.45196859410309	0.0005381197977568	4	4773	True
C_maculatus	B_siliquastri	8403	g2471.t1	BRAKERILHT00000015492	0.1082	0.8447	0.12809281401681072	g2471	-0.0602186421461649	0.899153920293396	0.706632892347763	0.164841156188542	3	6107	False
