g7.t1_1	rna-NM_132816.4_1
g8.t1_1	rna-NM_142145.4_1
g10.t1_1	rna-NM_130462.4_1
g11.t1_1	rna-NM_138092.3_1
g12.t1_1	rna-NM_001259567.2_1
g13.t1_1	rna-NM_138110.4_1
g14.t1_1	rna-NM_143324.3_1
g15.t1_1	rna-NM_001275484.1_1
g18.t1_1	rna-NM_001299521.1_1
g29.t1_1	rna-NM_139674.2_1
g32.t1_1	rna-NM_001104123.2_1
g35.t1_1	rna-NM_137748.4_1
g36.t1_1	rna-NM_136076.4_1
g57.t1_1	rna-NM_142745.4_1
g60.t1_1	rna-NM_169560.2_1
g62.t1_1	rna-NM_001300673.1_1
g63.t1_1	rna-NM_168974.2_1
g64.t1_1	rna-NM_168972.5_1
g65.t2_1	rna-NM_001347813.2_1
g66.t1_1	rna-NM_001300704.1_1
g67.t1_1	rna-NM_135242.3_1
g69.t2_1	rna-NM_001299252.1_1
g71.t1_1	rna-NM_164570.2_1
g72.t1_1	rna-NM_143533.3_1
g73.t1_1	rna-NM_001042889.4_1
g74.t1_1	rna-NM_140902.2_1
g80.t5_1	rna-NM_001298567.1_1
g81.t1_1	rna-NM_001201956.2_1
g82.t1_1	rna-NM_141579.3_1
g83.t1_1	rna-NM_001201861.2_1
g84.t1_1	rna-NM_001316469.1_1
g91.t1_1	rna-NM_143050.2_1
g94.t1_1	rna-NM_170180.2_1
g95.t1_1	rna-NM_001038927.4_1
g96.t1_1	rna-NM_001276039.1_1
g99.t1_1	rna-NM_001014577.2_1
g112.t1_1	rna-NM_142699.3_1
g115.t1_1	rna-NM_137884.4_1
g117.t1_1	rna-NM_001299338.1_1
g119.t1_1	rna-NM_001273215.1_1
g120.t1_1	rna-NM_057575.3_1
g125.t1_1	rna-NM_165431.3_1
g126.t1_1	rna-NM_168510.1_1
g132.t1_1	rna-NM_001274574.1_1
g133.t1_1	rna-NM_143593.4_1
g135.t1_1	rna-NM_134898.3_1
g136.t2_1	rna-NM_169742.3_1
g138.t1_1	rna-NM_164871.3_1
g139.t1_1	rna-NM_001038900.2_1
g142.t1_1	rna-NM_001300054.1_1
g145.t2_1	rna-NM_142923.3_1
g146.t1_1	rna-NM_142924.3_1
g148.t1_1	rna-NM_132702.5_1
g150.t1_1	rna-NM_132366.4_1
g152.t1_1	rna-NM_166604.3_1
g155.t1_1	rna-NM_165436.3_1
g157.t2_1	rna-NM_001275874.1_1
g169.t1_1	rna-NM_057337.3_1
g172.t1_1	rna-NM_079241.4_1
g173.t1_1	rna-NM_135145.2_1
g174.t1_1	rna-NM_080148.3_1
g176.t1_1	rna-NM_134914.3_1
g182.t2_1	rna-NM_001275651.1_1
g183.t1_1	rna-NM_139801.3_1
g184.t1_1	rna-NM_001274433.1_1
g185.t1_1	rna-NM_140801.4_1
g186.t1_1	rna-NM_170181.3_1
g187.t1_1	rna-NM_143626.3_1
g193.t1_1	rna-NM_143323.4_1
g197.t1_1	rna-NM_137843.3_1
g199.t1_1	rna-NM_001298828.1_1
g200.t1_1	rna-NM_001272773.2_1
