g6.t1_1	rna-XM_044901007.1_1
g7.t1_1	rna-XM_044900460.1_1
g8.t1_1	rna-XM_044908386.1_1
g10.t1_1	rna-XM_044894853.1_1
g11.t1_1	rna-XM_044890276.1_1
g12.t1_1	rna-XM_044888624.1_1
g13.t1_1	rna-XM_044888623.1_1
g14.t1_1	rna-XM_044889930.1_1
g15.t1_1	rna-XM_044890008.1_1
g16.t1_1	rna-XM_044896903.1_1
g17.t1_1	rna-XM_044892682.1_1
g18.t1_1	rna-XM_044895293.1_1
g21.t2_1	rna-XM_044895294.1_1
g25.t2_1	rna-XM_044895616.1_1
g26.t1_1	rna-XM_044902786.1_1
g28.t1_1	rna-XM_044896686.1_1
g29.t1_1	rna-XM_044896687.1_1
g30.t1_1	rna-XM_044895501.1_1
g31.t1_1	rna-XM_044895502.1_1
g32.t1_1	rna-XM_044896719.1_1
g35.t1_1	rna-XM_044895323.1_1
g36.t1_1	rna-XM_044894517.1_1
g43.t1_1	rna-XM_044909748.1_1
g49.t1_1	rna-XM_044898236.1_1
g57.t1_1	rna-XM_044897450.1_1
g59.t1_1	rna-XM_044889993.1_1
g62.t1_1	rna-XM_044898457.1_1
g63.t1_1	rna-XM_044898153.1_1
g64.t1_1	rna-XM_044898156.1_1
g65.t2_1	rna-XM_044897562.1_1
g67.t1_1	rna-XM_044898551.1_1
g69.t2_1	rna-XM_044893255.1_1
g71.t1_1	rna-XM_044905079.1_1
g72.t1_1	rna-XM_044897266.1_1
g73.t1_1	rna-XM_044891903.1_1
g74.t1_1	rna-XM_044899149.1_1
g80.t5_1	rna-XM_044899383.1_1
g81.t1_1	rna-XM_044899449.1_1
g82.t1_1	rna-XM_044889180.1_1
g83.t1_1	rna-XM_044899367.1_1
g84.t1_1	rna-XM_044898388.1_1
g85.t1_1	rna-XM_044898391.1_1
g89.t1_1	rna-XM_044904510.1_1
g90.t1_1	rna-XM_044898259.1_1
g91.t1_1	rna-XM_044898108.1_1
g94.t1_1	rna-XM_044899376.1_1
g95.t1_1	rna-XM_044898953.1_1
g96.t1_1	rna-XM_044898464.1_1
g99.t1_1	rna-XM_044899330.1_1
g100.t1_1	rna-XM_044909829.1_1
g111.t1_1	rna-XM_044899880.1_1
g112.t1_1	rna-XM_044897877.1_1
g115.t1_1	rna-XM_044899530.1_1
g118.t1_1	rna-XM_044904468.1_1
g119.t1_1	rna-XM_044904137.1_1
g120.t1_1	rna-XM_044898686.1_1
g121.t1_1	rna-XM_044898677.1_1
g122.t1_1	rna-XM_044898334.1_1
g124.t1_1	rna-XM_044898016.1_1
g125.t1_1	rna-XM_044898015.1_1
g126.t1_1	rna-XM_044910861.1_1
g132.t1_1	rna-XM_044902183.1_1
g133.t1_1	rna-XM_044890845.1_1
g134.t1_1	rna-XM_044898698.1_1
g135.t1_1	rna-XM_044898723.1_1
g136.t2_1	rna-XM_044898722.1_1
g138.t1_1	rna-XM_044898349.1_1
g139.t1_1	rna-XM_044905479.1_1
g141.t1_1	rna-XM_044911180.1_1
g142.t1_1	rna-XM_044911179.1_1
g143.t1_1	rna-XM_044907285.1_1
g145.t2_1	rna-XM_044889549.1_1
g146.t1_1	rna-XM_044889791.1_1
g148.t1_1	rna-XM_044895622.1_1
g149.t2_1	rna-XM_044892948.1_1
g150.t1_1	rna-XM_044892484.1_1
g151.t1_1	rna-XM_044892753.1_1
g152.t1_1	rna-XM_044892248.1_1
g153.t1_1	rna-XM_044892908.1_1
g154.t1_1	rna-XM_044893631.1_1
g155.t1_1	rna-XM_044893280.1_1
g157.t2_1	rna-XM_044892560.1_1
g161.t1_1	rna-XM_044905698.1_1
g164.t1_1	rna-XM_044893874.1_1
g166.t1_1	rna-XM_044892644.1_1
g167.t1_1	rna-XM_044892637.1_1
g169.t1_1	rna-XM_044896534.1_1
g171.t1_1	rna-XM_044896643.1_1
g172.t1_1	rna-XM_044896641.1_1
g173.t1_1	rna-XM_044896683.1_1
g174.t1_1	rna-XM_044891942.1_1
g176.t1_1	rna-XM_044893574.1_1
